date,session_key,driver_number,meeting_key,interval,gap_to_leader
2026-08-22T10:03:42.809000+00:00,11348,81,1292,0.258,1.54
2026-08-22T10:03:42.873000+00:00,11348,10,1292,0.36,2.823
2026-08-22T10:03:43.163000+00:00,11348,5,1292,0.267,3.09
2026-08-22T10:03:43.212000+00:00,11348,3,1292,0.41,1.95
2026-08-22T10:03:43.542000+00:00,11348,41,1292,0.357,3.447
2026-08-22T10:03:43.642000+00:00,11348,30,1292,0.127,3.574
2026-08-22T10:03:43.695000+00:00,11348,44,1292,0.481,2.431
2026-08-22T10:03:43.894000+00:00,11348,43,1292,0.236,3.81
2026-08-22T10:03:44.212000+00:00,11348,55,1292,5.188,10.738
2026-08-22T10:03:44.305000+00:00,11348,10,1292,0.423,2.854
2026-08-22T10:03:44.329000+00:00,11348,22,1292,0.31,4.12
2026-08-22T10:03:44.380000+00:00,11348,5,1292,0.229,3.083
2026-08-22T10:03:44.493000+00:00,11348,31,1292,0.304,4.424
2026-08-22T10:03:44.545000+00:00,11348,14,1292,0.473,11.211
2026-08-22T10:03:44.626000+00:00,11348,87,1292,0.158,4.582
2026-08-22T10:03:44.692000+00:00,11348,41,1292,0.334,3.417
2026-08-22T10:03:44.854000+00:00,11348,23,1292,0.212,4.794
2026-08-22T10:03:44.854000+00:00,11348,30,1292,0.183,3.6
2026-08-22T10:03:45.149000+00:00,11348,43,1292,0.254,3.854
2026-08-22T10:03:45.161000+00:00,11348,27,1292,0.278,5.072
2026-08-22T10:03:45.380000+00:00,11348,18,1292,0.248,5.32
2026-08-22T10:03:45.412000+00:00,11348,22,1292,0.282,4.136
2026-08-22T10:03:45.412000+00:00,11348,1,1292,0.715,0.715
2026-08-22T10:03:45.750000+00:00,11348,16,1292,0.288,1.003
2026-08-22T10:03:45.795000+00:00,11348,31,1292,0.35,4.486
2026-08-22T10:03:45.973000+00:00,11348,77,1292,0.591,5.911
2026-08-22T10:03:45.988000+00:00,11348,87,1292,0.184,4.67
2026-08-22T10:03:46.053000+00:00,11348,12,1292,0.378,1.381
2026-08-22T10:03:46.189000+00:00,11348,23,1292,0.23,4.9
2026-08-22T10:03:46.361000+00:00,11348,27,1292,0.188,5.088
2026-08-22T10:03:46.408000+00:00,11348,81,1292,0.29,1.671
2026-08-22T10:03:46.783000+00:00,11348,18,1292,0.344,5.432
2026-08-22T10:03:46.876000+00:00,11348,3,1292,0.465,2.136
2026-08-22T10:03:47.220000+00:00,11348,77,1292,0.521,5.953
2026-08-22T10:03:47.376000+00:00,11348,44,1292,0.502,2.638
2026-08-22T10:03:47.720000+00:00,11348,55,1292,4.986,10.808
2026-08-22T10:03:47.892000+00:00,11348,10,1292,0.533,3.171
2026-08-22T10:03:48.091000+00:00,11348,5,1292,0.234,3.405
2026-08-22T10:03:48.312000+00:00,11348,14,1292,0.578,11.386
2026-08-22T10:03:48.543000+00:00,11348,41,1292,0.422,3.827
2026-08-22T10:03:48.735000+00:00,11348,30,1292,0.205,4.032
2026-08-22T10:03:49.012000+00:00,11348,43,1292,0.261,4.293
2026-08-22T10:03:49.294000+00:00,11348,22,1292,0.318,4.611
2026-08-22T10:03:49.440000+00:00,11348,1,1292,0.826,0.826
2026-08-22T10:03:49.569000+00:00,11348,31,1292,0.261,4.872
2026-08-22T10:03:49.732000+00:00,11348,16,1292,0.275,1.101
2026-08-22T10:03:49.822000+00:00,11348,87,1292,0.258,5.13
2026-08-22T10:03:50.144000+00:00,11348,12,1292,0.393,1.494
2026-08-22T10:03:50.160000+00:00,11348,23,1292,0.323,5.453
2026-08-22T10:03:50.412000+00:00,11348,81,1292,0.285,1.779
2026-08-22T10:03:50.446000+00:00,11348,27,1292,0.309,5.762
2026-08-22T10:03:50.767000+00:00,11348,18,1292,0.289,6.051
2026-08-22T10:03:50.798000+00:00,11348,3,1292,0.417,2.196
2026-08-22T10:03:50.869000+00:00,11348,55,1292,4.883,10.794
2026-08-22T10:03:51.203000+00:00,11348,77,1292,0.454,6.505
2026-08-22T10:03:51.409000+00:00,11348,44,1292,0.594,2.79
2026-08-22T10:03:51.487000+00:00,11348,14,1292,0.631,11.425
2026-08-22T10:03:51.950000+00:00,11348,10,1292,0.519,3.309
2026-08-22T10:03:52.031000+00:00,11348,55,1292,4.827,10.78
2026-08-22T10:03:52.269000+00:00,11348,5,1292,0.337,3.646
2026-08-22T10:03:52.634000+00:00,11348,41,1292,0.349,3.995
2026-08-22T10:03:52.645000+00:00,11348,1,1292,0.883,0.883
2026-08-22T10:03:52.725000+00:00,11348,14,1292,0.681,11.461
2026-08-22T10:03:52.896000+00:00,11348,30,1292,0.265,4.26
2026-08-22T10:03:53.086000+00:00,11348,16,1292,0.414,1.297
2026-08-22T10:03:53.324000+00:00,11348,43,1292,0.425,4.685
2026-08-22T10:03:53.459000+00:00,11348,12,1292,0.388,1.685
