date,session_key,meeting_key,gap_to_leader,interval,driver_number,source_closure_retrieved_utc
2026-05-03T17:04:33.133000+00:00,11280,1284,3.738,0.255,44,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:33.152000+00:00,11280,1284,6.198,0.297,27,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:33.223000+00:00,11280,1284,6.287,0.089,5,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:33.251000+00:00,11280,1284,6.307,0.02,11,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:33.570000+00:00,11280,1284,6.631,0.324,14,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:33.827000+00:00,11280,1284,6.877,0.246,77,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:33.886000+00:00,11280,1284,6.924,0.047,6,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:34.089000+00:00,11280,1284,4.686,0.948,30,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:34.132000+00:00,11280,1284,4.707,0.021,55,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:34.338000+00:00,11280,1284,4.911,0.204,3,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:34.502000+00:00,11280,1284,5.103,0.192,10,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:34.644000+00:00,11280,1284,5.252,0.149,23,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:34.652000+00:00,11280,1284,1.734,1.734,12,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:34.944000+00:00,11280,1284,5.535,0.283,31,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:35.171000+00:00,11280,1284,2.241,0.507,1,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:35.187000+00:00,11280,1284,5.769,0.234,87,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:35.519000+00:00,11280,1284,6.121,0.352,41,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:35.557000+00:00,11280,1284,2.637,0.396,81,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:35.851000+00:00,11280,1284,6.474,0.353,18,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:36.163000+00:00,11280,1284,3.248,0.611,63,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:36.273000+00:00,11280,1284,6.871,0.397,11,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:36.304000+00:00,11280,1284,6.906,0.035,27,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:36.554000+00:00,11280,1284,7.158,0.252,5,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:36.648000+00:00,11280,1284,3.712,0.464,43,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:36.679000+00:00,11280,1284,7.275,0.117,14,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:36.882000+00:00,11280,1284,3.905,0.193,44,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:36.913000+00:00,11280,1284,7.504,0.229,6,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:37.039000+00:00,11280,1284,7.647,0.143,77,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:37.850000+00:00,11280,1284,4.881,0.976,30,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:38.132000+00:00,11280,1284,5.212,0.331,55,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:38.186000+00:00,11280,1284,5.268,0.056,3,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:38.640000+00:00,11280,1284,5.727,0.459,10,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:38.870000+00:00,11280,1284,5.914,0.187,23,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:38.896000+00:00,11280,1284,5.964,0.05,31,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:39.236000+00:00,11280,1284,6.29,0.326,87,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:39.359000+00:00,11280,1284,6.433,0.143,41,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:39.610000+00:00,11280,1284,1.788,1.788,12,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:39.871000+00:00,11280,1284,6.922,0.489,18,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:40.251000+00:00,11280,1284,2.396,0.608,1,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:40.609000+00:00,11280,1284,7.679,0.757,11,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:40.633000+00:00,11280,1284,2.827,0.431,81,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:40.797000+00:00,11280,1284,7.837,0.158,27,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:40.985000+00:00,11280,1284,8.075,0.238,14,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:41.016000+00:00,11280,1284,8.084,0.009,5,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:41.277000+00:00,11280,1284,3.434,0.607,63,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:41.277000+00:00,11280,1284,8.352,0.268,6,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:41.536000+00:00,11280,1284,8.631,0.279,77,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:41.766000+00:00,11280,1284,3.952,0.518,43,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:42.016000+00:00,11280,1284,4.2,0.248,44,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:42.782000+00:00,11280,1284,1.749,1.749,12,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:43.035000+00:00,11280,1284,5.23,1.03,30,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:43.377000+00:00,11280,1284,2.357,,1,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:43.473000+00:00,11280,1284,5.67,0.44,3,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:43.710000+00:00,11280,1284,5.886,0.216,55,2026-09-05T22:12:12.772471Z
2026-05-03T17:04:43.874000+00:00,11280,1284,2.769,0.412,81,2026-09-05T22:12:12.772471Z
