date,session_key,meeting_key,gap_to_leader,interval,driver_number
2026-06-14T13:04:19.692000+00:00,11307,1287,9.346,2.19,14
2026-06-14T13:04:19.973000+00:00,11307,1287,5.421,0.272,87
2026-06-14T13:04:20.067000+00:00,11307,1287,5.544,0.123,6
2026-06-14T13:04:20.255000+00:00,11307,1287,1.134,1.134,44
2026-06-14T13:04:20.333000+00:00,11307,1287,5.792,0.248,5
2026-06-14T13:04:20.364000+00:00,11307,1287,5.814,0.022,31
2026-06-14T13:04:20.536000+00:00,11307,1287,6.037,0.223,23
2026-06-14T13:04:20.895000+00:00,11307,1287,1.771,0.637,12
2026-06-14T13:04:21.020000+00:00,11307,1287,6.549,0.512,11
2026-06-14T13:04:21.254000+00:00,11307,1287,2.136,0.365,1
2026-06-14T13:04:21.379000+00:00,11307,1287,6.944,0.395,77
2026-06-14T13:04:21.520000+00:00,11307,1287,2.437,0.301,3
2026-06-14T13:04:21.926000+00:00,11307,1287,2.807,0.37,81
2026-06-14T13:04:22.098000+00:00,11307,1287,7.666,0.722,18
2026-06-14T13:04:22.754000+00:00,11307,1287,3.609,0.802,16
2026-06-14T13:04:23.109000+00:00,11307,1287,3.998,0.389,30
2026-06-14T13:04:23.564000+00:00,11307,1287,4.437,0.439,41
2026-06-14T13:04:23.564000+00:00,11307,1287,1.135,1.135,44
2026-06-14T13:04:23.964000+00:00,11307,1287,4.812,0.375,27
2026-06-14T13:04:24.142000+00:00,11307,1287,9.643,1.977,14
2026-06-14T13:04:24.223000+00:00,11307,1287,1.791,0.656,12
2026-06-14T13:04:24.310000+00:00,11307,1287,5.189,0.377,43
2026-06-14T13:04:24.744000+00:00,11307,1287,2.269,0.478,1
2026-06-14T13:04:24.764000+00:00,11307,1287,5.608,0.419,10
2026-06-14T13:04:25.040000+00:00,11307,1287,5.886,0.278,55
2026-06-14T13:04:25.118000+00:00,11307,1287,2.71,0.441,3
2026-06-14T13:04:25.368000+00:00,11307,1287,6.223,0.337,87
2026-06-14T13:04:25.462000+00:00,11307,1287,6.334,0.111,6
2026-06-14T13:04:25.556000+00:00,11307,1287,3.077,0.367,81
2026-06-14T13:04:25.681000+00:00,11307,1287,6.578,0.244,5
2026-06-14T13:04:25.884000+00:00,11307,1287,6.718,0.14,31
2026-06-14T13:04:26.040000+00:00,11307,1287,6.912,0.194,23
2026-06-14T13:04:26.243000+00:00,11307,1287,3.837,0.76,16
2026-06-14T13:04:26.415000+00:00,11307,1287,7.283,0.371,11
2026-06-14T13:04:26.728000+00:00,11307,1287,4.32,0.483,30
2026-06-14T13:04:26.806000+00:00,11307,1287,7.659,0.376,77
2026-06-14T13:04:26.962000+00:00,11307,1287,1.206,1.206,44
2026-06-14T13:04:27.212000+00:00,11307,1287,4.789,0.469,41
2026-06-14T13:04:27.384000+00:00,11307,1287,8.265,0.606,18
2026-06-14T13:04:27.558000+00:00,11307,1287,5.116,0.327,27
2026-06-14T13:04:27.650000+00:00,11307,1287,1.828,0.622,12
2026-06-14T13:04:27.962000+00:00,11307,1287,5.474,0.358,43
2026-06-14T13:04:28.087000+00:00,11307,1287,2.316,0.488,1
2026-06-14T13:04:28.431000+00:00,11307,1287,6.003,0.529,10
2026-06-14T13:04:28.587000+00:00,11307,1287,2.85,0.534,3
2026-06-14T13:04:28.728000+00:00,11307,1287,6.308,0.305,55
2026-06-14T13:04:29.056000+00:00,11307,1287,1.203,1.203,44
2026-06-14T13:04:29.056000+00:00,11307,1287,3.226,0.376,81
2026-06-14T13:04:29.165000+00:00,11307,1287,6.706,0.398,87
2026-06-14T13:04:29.259000+00:00,11307,1287,10.058,1.793,14
2026-06-14T13:04:29.353000+00:00,11307,1287,6.92,0.214,6
2026-06-14T13:04:29.558000+00:00,11307,1287,1.806,0.603,12
2026-06-14T13:04:29.665000+00:00,11307,1287,7.153,0.233,5
