date,session_key,driver_number,position,meeting_key
2026-09-04T14:00:21.269000+00:00,11355,22,11,1293
2026-09-04T14:00:21.269000+00:00,11355,23,12,1293
2026-09-04T14:00:21.269000+00:00,11355,27,13,1293
2026-09-04T14:00:21.269000+00:00,11355,30,14,1293
2026-09-04T14:00:21.269000+00:00,11355,31,15,1293
2026-09-04T14:00:21.269000+00:00,11355,41,16,1293
2026-09-04T14:00:21.269000+00:00,11355,43,17,1293
2026-09-04T14:00:21.269000+00:00,11355,44,18,1293
2026-09-04T14:00:21.269000+00:00,11355,55,19,1293
2026-09-04T14:00:21.269000+00:00,11355,63,20,1293
2026-09-04T14:00:21.269000+00:00,11355,77,21,1293
2026-09-04T14:00:21.269000+00:00,11355,81,22,1293
2026-09-04T14:00:21.269000+00:00,11355,87,2,1293
2026-09-04T14:00:22.480000+00:00,11355,1,4,1293
2026-09-04T14:00:22.480000+00:00,11355,3,5,1293
2026-09-04T14:00:22.480000+00:00,11355,10,6,1293
2026-09-04T14:00:22.480000+00:00,11355,11,7,1293
2026-09-04T14:00:22.480000+00:00,11355,12,8,1293
2026-09-04T14:00:22.480000+00:00,11355,14,9,1293
2026-09-04T14:00:22.480000+00:00,11355,16,10,1293
2026-09-04T14:00:22.480000+00:00,11355,18,11,1293
2026-09-04T14:00:22.480000+00:00,11355,22,12,1293
2026-09-04T14:00:22.480000+00:00,11355,23,13,1293
2026-09-04T14:00:22.480000+00:00,11355,27,14,1293
2026-09-04T14:00:22.480000+00:00,11355,30,15,1293
2026-09-04T14:00:22.480000+00:00,11355,31,3,1293
2026-09-04T14:00:25.612000+00:00,11355,1,5,1293
2026-09-04T14:00:25.612000+00:00,11355,3,6,1293
2026-09-04T14:00:25.612000+00:00,11355,10,7,1293
2026-09-04T14:00:25.612000+00:00,11355,11,8,1293
2026-09-04T14:00:25.612000+00:00,11355,12,9,1293
2026-09-04T14:00:25.612000+00:00,11355,14,10,1293
2026-09-04T14:00:25.612000+00:00,11355,16,11,1293
2026-09-04T14:00:25.612000+00:00,11355,18,12,1293
2026-09-04T14:00:25.612000+00:00,11355,22,13,1293
2026-09-04T14:00:25.612000+00:00,11355,23,14,1293
2026-09-04T14:00:25.612000+00:00,11355,27,15,1293
2026-09-04T14:00:25.612000+00:00,11355,30,16,1293
2026-09-04T14:00:25.612000+00:00,11355,41,17,1293
2026-09-04T14:00:25.612000+00:00,11355,43,4,1293
2026-09-04T14:00:36.205000+00:00,11355,1,6,1293
2026-09-04T14:00:36.205000+00:00,11355,3,7,1293
