date,session_key,driver_number,meeting_key,position
2026-09-25T12:21:51.930000+00:00,11373,43,1295,9
2026-09-25T12:21:51.930000+00:00,11373,55,1295,8
2026-09-25T12:21:51.930000+00:00,11373,5,1295,14
2026-09-25T12:21:51.930000+00:00,11373,31,1295,12
2026-09-25T12:21:51.930000+00:00,11373,30,1295,13
2026-09-25T12:21:56.136000+00:00,11373,12,1295,12
2026-09-25T12:21:56.136000+00:00,11373,10,1295,11
2026-09-25T12:21:56.136000+00:00,11373,87,1295,10
2026-09-25T12:21:56.136000+00:00,11373,5,1295,15
2026-09-25T12:21:56.136000+00:00,11373,31,1295,13
2026-09-25T12:21:56.136000+00:00,11373,23,1295,16
2026-09-25T12:21:56.136000+00:00,11373,30,1295,14
2026-09-25T12:21:56.136000+00:00,11373,41,1295,17
2026-09-25T12:21:58.887000+00:00,11373,12,1295,13
2026-09-25T12:21:58.887000+00:00,11373,10,1295,12
2026-09-25T12:21:58.887000+00:00,11373,43,1295,10
2026-09-25T12:21:58.887000+00:00,11373,55,1295,9
2026-09-25T12:21:58.887000+00:00,11373,87,1295,11
2026-09-25T12:21:58.887000+00:00,11373,31,1295,8
2026-09-25T12:22:22.004000+00:00,11373,12,1295,14
2026-09-25T12:22:22.004000+00:00,11373,10,1295,13
2026-09-25T12:22:22.004000+00:00,11373,43,1295,11
2026-09-25T12:22:22.004000+00:00,11373,55,1295,10
2026-09-25T12:22:22.004000+00:00,11373,87,1295,12
2026-09-25T12:22:22.004000+00:00,11373,5,1295,16
2026-09-25T12:22:22.004000+00:00,11373,31,1295,9
2026-09-25T12:22:22.004000+00:00,11373,23,1295,8
2026-09-25T12:22:22.004000+00:00,11373,30,1295,15
2026-09-25T12:22:26.920000+00:00,11373,12,1295,15
2026-09-25T12:22:26.920000+00:00,11373,5,1295,17
2026-09-25T12:22:26.920000+00:00,11373,30,1295,16
2026-09-25T12:22:26.920000+00:00,11373,41,1295,14
2026-09-25T12:22:32.663000+00:00,11373,10,1295,6
2026-09-25T12:22:32.663000+00:00,11373,81,1295,8
2026-09-25T12:22:32.663000+00:00,11373,1,1295,7
2026-09-25T12:22:32.663000+00:00,11373,43,1295,12
2026-09-25T12:22:32.663000+00:00,11373,55,1295,11
2026-09-25T12:22:32.663000+00:00,11373,87,1295,13
2026-09-25T12:22:32.663000+00:00,11373,31,1295,10
2026-09-25T12:22:32.663000+00:00,11373,23,1295,9
2026-09-25T12:23:13.319000+00:00,11373,77,1295,21
2026-09-25T12:23:13.319000+00:00,11373,18,1295,22
2026-09-25T12:24:27.233000+00:00,11373,77,1295,22
2026-09-25T12:24:27.233000+00:00,11373,18,1295,21
2026-09-25T12:29:02.922000+00:00,11373,3,1295,3
2026-09-25T12:29:02.922000+00:00,11373,63,1295,2
2026-09-25T12:29:02.922000+00:00,11373,44,1295,5
2026-09-25T12:29:02.922000+00:00,11373,16,1295,6
2026-09-25T12:29:02.922000+00:00,11373,10,1295,7
2026-09-25T12:29:02.922000+00:00,11373,81,1295,9
2026-09-25T12:29:02.922000+00:00,11373,1,1295,8
2026-09-25T12:29:02.922000+00:00,11373,6,1295,4
2026-09-25T12:29:02.922000+00:00,11373,55,1295,1
2026-09-25T12:29:02.922000+00:00,11373,31,1295,11
2026-09-25T12:29:02.922000+00:00,11373,23,1295,10
2026-09-25T12:29:07.097000+00:00,11373,3,1295,4
2026-09-25T12:29:07.097000+00:00,11373,63,1295,3
2026-09-25T12:29:07.097000+00:00,11373,44,1295,6
2026-09-25T12:29:07.097000+00:00,11373,16,1295,7
2026-09-25T12:29:07.097000+00:00,11373,10,1295,8
2026-09-25T12:29:07.097000+00:00,11373,81,1295,10
2026-09-25T12:29:07.097000+00:00,11373,1,1295,9
2026-09-25T12:29:07.097000+00:00,11373,6,1295,5
2026-09-25T12:29:07.097000+00:00,11373,55,1295,2
2026-09-25T12:29:07.097000+00:00,11373,23,1295,1
2026-09-25T12:29:14.870000+00:00,11373,3,1295,1
2026-09-25T12:29:14.870000+00:00,11373,63,1295,4
2026-09-25T12:29:14.870000+00:00,11373,55,1295,3
2026-09-25T12:29:14.870000+00:00,11373,23,1295,2
2026-09-25T12:29:17.951000+00:00,11373,63,1295,5
2026-09-25T12:29:17.951000+00:00,11373,44,1295,7
2026-09-25T12:29:17.951000+00:00,11373,16,1295,8
2026-09-25T12:29:17.951000+00:00,11373,10,1295,9
2026-09-25T12:29:17.951000+00:00,11373,81,1295,11
2026-09-25T12:29:17.951000+00:00,11373,1,1295,10
2026-09-25T12:29:17.951000+00:00,11373,6,1295,6
2026-09-25T12:29:17.951000+00:00,11373,43,1295,13
2026-09-25T12:29:17.951000+00:00,11373,87,1295,14
2026-09-25T12:29:17.951000+00:00,11373,31,1295,12
2026-09-25T12:29:17.951000+00:00,11373,41,1295,4
2026-09-25T12:29:24.518000+00:00,11373,63,1295,6
2026-09-25T12:29:24.518000+00:00,11373,44,1295,8
2026-09-25T12:29:24.518000+00:00,11373,12,1295,16
2026-09-25T12:29:24.518000+00:00,11373,16,1295,9
