date,session_key,meeting_key,interval,driver_number,gap_to_leader
2026-06-14T13:04:01.009000+00:00,11307,1287,0.21,81,1.716
2026-06-14T13:04:01.109000+00:00,11307,1287,3.533,14,8.538
2026-06-14T13:04:01.701000+00:00,11307,1287,0.677,16,2.393
2026-06-14T13:04:01.988000+00:00,11307,1287,0.305,30,2.698
2026-06-14T13:04:02.319000+00:00,11307,1287,0.203,41,2.901
2026-06-14T13:04:02.372000+00:00,11307,1287,0.073,27,2.974
2026-06-14T13:04:02.558000+00:00,11307,1287,0.287,43,3.261
2026-06-14T13:04:02.807000+00:00,11307,1287,0.205,55,3.466
2026-06-14T13:04:03.619000+00:00,11307,1287,0.373,10,3.839
2026-06-14T13:04:04.041000+00:00,11307,1287,0.212,87,4.051
2026-06-14T13:04:04.119000+00:00,11307,1287,0.143,6,4.194
2026-06-14T13:04:04.135000+00:00,11307,1287,0.268,23,4.462
2026-06-14T13:04:04.135000+00:00,11307,1287,0.122,5,4.584
2026-06-14T13:04:04.135000+00:00,11307,1287,3.426,14,8.589
2026-06-14T13:04:04.151000+00:00,11307,1287,0.321,31,4.905
2026-06-14T13:04:04.510000+00:00,11307,1287,0.289,11,5.194
2026-06-14T13:04:04.807000+00:00,11307,1287,0.317,77,5.511
2026-06-14T13:04:05.119000+00:00,11307,1287,0.367,18,5.878
2026-06-14T13:04:05.682000+00:00,11307,1287,0.741,44,0.741
2026-06-14T13:04:06.088000+00:00,11307,1287,0.427,12,1.168
2026-06-14T13:04:06.385000+00:00,11307,1287,0.156,1,1.324
2026-06-14T13:04:06.447000+00:00,11307,1287,0.228,3,1.552
2026-06-14T13:04:06.932000+00:00,11307,1287,0.422,81,1.974
2026-06-14T13:04:07.699000+00:00,11307,1287,0.717,16,2.691
2026-06-14T13:04:07.953000+00:00,11307,1287,0.321,30,3.012
2026-06-14T13:04:08.133000+00:00,11307,1287,0.024,41,3.036
2026-06-14T13:04:08.201000+00:00,11307,1287,2.958,14,8.836
2026-06-14T13:04:08.290000+00:00,11307,1287,0.334,27,3.37
2026-06-14T13:04:08.647000+00:00,11307,1287,0.34,43,3.71
2026-06-14T13:04:08.784000+00:00,11307,1287,0.119,55,3.829
2026-06-14T13:04:09.180000+00:00,11307,1287,0.431,10,4.26
2026-06-14T13:04:09.437000+00:00,11307,1287,0.17,6,4.43
2026-06-14T13:04:09.647000+00:00,11307,1287,0.037,87,4.467
2026-06-14T13:04:09.815000+00:00,11307,1287,0.411,23,4.878
2026-06-14T13:04:09.932000+00:00,11307,1287,0.107,5,4.985
2026-06-14T13:04:10.253000+00:00,11307,1287,0.349,31,5.334
2026-06-14T13:04:10.660000+00:00,11307,1287,0.391,11,5.725
2026-06-14T13:04:10.960000+00:00,11307,1287,0.318,77,6.043
2026-06-14T13:04:11.190000+00:00,11307,1287,0.818,44,0.818
2026-06-14T13:04:11.480000+00:00,11307,1287,0.549,18,6.592
2026-06-14T13:04:11.733000+00:00,11307,1287,0.538,12,1.356
2026-06-14T13:04:11.861000+00:00,11307,1287,0.162,1,1.518
2026-06-14T13:04:12.123000+00:00,11307,1287,0.27,3,1.788
2026-06-14T13:04:12.609000+00:00,11307,1287,0.475,81,2.263
2026-06-14T13:04:13.409000+00:00,11307,1287,0.802,16,3.065
2026-06-14T13:04:13.694000+00:00,11307,1287,0.254,30,3.319
2026-06-14T13:04:14.071000+00:00,11307,1287,0.246,41,3.565
2026-06-14T13:04:14.081000+00:00,11307,1287,2.525,14,9.117
2026-06-14T13:04:14.081000+00:00,11307,1287,0.106,27,3.671
2026-06-14T13:04:14.564000+00:00,11307,1287,0.466,43,4.137
2026-06-14T13:04:14.936000+00:00,11307,1287,0.462,10,4.599
2026-06-14T13:04:15.118000+00:00,11307,1287,0.143,55,4.742
2026-06-14T13:04:15.361000+00:00,11307,1287,0.893,44,0.893
2026-06-14T13:04:15.419000+00:00,11307,1287,0.311,87,5.053
2026-06-14T13:04:15.580000+00:00,11307,1287,0.169,6,5.222
2026-06-14T13:04:15.797000+00:00,11307,1287,0.192,5,5.414
2026-06-14T13:04:15.921000+00:00,11307,1287,0.101,23,5.515
2026-06-14T13:04:15.971000+00:00,11307,1287,0.567,12,1.46
2026-06-14T13:04:16.009000+00:00,11307,1287,0.144,31,5.659
2026-06-14T13:04:16.184000+00:00,11307,1287,0.256,1,1.716
2026-06-14T13:04:16.538000+00:00,11307,1287,0.494,11,6.153
2026-06-14T13:04:16.564000+00:00,11307,1287,0.317,3,2.033
2026-06-14T13:04:16.853000+00:00,11307,1287,0.348,81,2.381
2026-06-14T13:04:16.953000+00:00,11307,1287,0.427,77,6.58
2026-06-14T13:04:17.536000+00:00,11307,1287,0.576,18,7.156
2026-06-14T13:04:17.708000+00:00,11307,1287,0.855,16,3.236
2026-06-14T13:04:18.114000+00:00,11307,1287,0.394,30,3.63
2026-06-14T13:04:18.364000+00:00,11307,1287,0.212,41,3.842
2026-06-14T13:04:18.567000+00:00,11307,1287,0.245,27,4.087
2026-06-14T13:04:19.004000+00:00,11307,1287,0.42,43,4.507
2026-06-14T13:04:19.333000+00:00,11307,1287,0.324,10,4.831
2026-06-14T13:04:19.645000+00:00,11307,1287,0.318,55,5.149
2026-06-14T13:04:19.692000+00:00,11307,1287,2.19,14,9.346
2026-06-14T13:04:19.973000+00:00,11307,1287,0.272,87,5.421
2026-06-14T13:04:20.067000+00:00,11307,1287,0.123,6,5.544
2026-06-14T13:04:20.255000+00:00,11307,1287,1.134,44,1.134
2026-06-14T13:04:20.333000+00:00,11307,1287,0.248,5,5.792
2026-06-14T13:04:20.364000+00:00,11307,1287,0.022,31,5.814
2026-06-14T13:04:20.536000+00:00,11307,1287,0.223,23,6.037
2026-06-14T13:04:20.895000+00:00,11307,1287,0.637,12,1.771
2026-06-14T13:04:21.020000+00:00,11307,1287,0.512,11,6.549
2026-06-14T13:04:21.254000+00:00,11307,1287,0.365,1,2.136
2026-06-14T13:04:21.379000+00:00,11307,1287,0.395,77,6.944
2026-06-14T13:04:21.520000+00:00,11307,1287,0.301,3,2.437
2026-06-14T13:04:21.926000+00:00,11307,1287,0.37,81,2.807
2026-06-14T13:04:22.098000+00:00,11307,1287,0.722,18,7.666
2026-06-14T13:04:22.754000+00:00,11307,1287,0.802,16,3.609
2026-06-14T13:04:23.109000+00:00,11307,1287,0.389,30,3.998
2026-06-14T13:04:23.564000+00:00,11307,1287,0.439,41,4.437
2026-06-14T13:04:23.564000+00:00,11307,1287,1.135,44,1.135
2026-06-14T13:04:23.964000+00:00,11307,1287,0.375,27,4.812
2026-06-14T13:04:24.142000+00:00,11307,1287,1.977,14,9.643
2026-06-14T13:04:24.223000+00:00,11307,1287,0.656,12,1.791
2026-06-14T13:04:24.310000+00:00,11307,1287,0.377,43,5.189
2026-06-14T13:04:24.744000+00:00,11307,1287,0.478,1,2.269
2026-06-14T13:04:24.764000+00:00,11307,1287,0.419,10,5.608
2026-06-14T13:04:25.040000+00:00,11307,1287,0.278,55,5.886
2026-06-14T13:04:25.118000+00:00,11307,1287,0.441,3,2.71
