date,session_key,meeting_key,position,driver_number
2026-09-12T10:46:53.898000+00:00,11364,1294,14,11
2026-09-12T10:46:53.898000+00:00,11364,1294,18,12
2026-09-12T10:46:53.898000+00:00,11364,1294,9,14
2026-09-12T10:46:53.898000+00:00,11364,1294,10,18
2026-09-12T10:46:53.898000+00:00,11364,1294,6,22
2026-09-12T10:46:53.898000+00:00,11364,1294,15,23
2026-09-12T10:46:53.898000+00:00,11364,1294,8,30
2026-09-12T10:46:53.898000+00:00,11364,1294,5,31
2026-09-12T10:46:53.898000+00:00,11364,1294,12,43
2026-09-12T10:46:53.898000+00:00,11364,1294,13,55
2026-09-12T10:46:53.898000+00:00,11364,1294,11,77
2026-09-12T10:46:53.898000+00:00,11364,1294,4,87
2026-09-12T10:47:04.576000+00:00,11364,1294,17,1
2026-09-12T10:47:04.576000+00:00,11364,1294,15,10
2026-09-12T10:47:04.576000+00:00,11364,1294,16,23
2026-09-12T10:47:10.525000+00:00,11364,1294,18,1
2026-09-12T10:47:10.525000+00:00,11364,1294,16,10
2026-09-12T10:47:10.525000+00:00,11364,1294,15,12
2026-09-12T10:47:10.525000+00:00,11364,1294,17,23
2026-09-12T10:47:53.665000+00:00,11364,1294,16,1
2026-09-12T10:47:53.665000+00:00,11364,1294,18,10
2026-09-12T10:48:10.665000+00:00,11364,1294,19,10
2026-09-12T10:48:10.665000+00:00,11364,1294,18,23
2026-09-12T10:48:10.665000+00:00,11364,1294,17,81
2026-09-12T10:48:21.413000+00:00,11364,1294,20,10
2026-09-12T10:48:21.413000+00:00,11364,1294,19,23
2026-09-12T10:48:21.413000+00:00,11364,1294,18,63
2026-09-12T10:48:40.248000+00:00,11364,1294,17,1
2026-09-12T10:48:40.248000+00:00,11364,1294,9,10
2026-09-12T10:48:40.248000+00:00,11364,1294,15,11
2026-09-12T10:48:40.248000+00:00,11364,1294,16,12
2026-09-12T10:48:40.248000+00:00,11364,1294,10,14
2026-09-12T10:48:40.248000+00:00,11364,1294,11,18
2026-09-12T10:48:40.248000+00:00,11364,1294,20,23
2026-09-12T10:48:40.248000+00:00,11364,1294,13,43
2026-09-12T10:48:40.248000+00:00,11364,1294,14,55
2026-09-12T10:48:40.248000+00:00,11364,1294,19,63
2026-09-12T10:48:40.248000+00:00,11364,1294,12,77
2026-09-12T10:48:40.248000+00:00,11364,1294,18,81
2026-09-12T10:48:44.239000+00:00,11364,1294,8,5
2026-09-12T10:48:44.239000+00:00,11364,1294,10,10
2026-09-12T10:48:44.239000+00:00,11364,1294,16,11
2026-09-12T10:48:44.239000+00:00,11364,1294,1,12
2026-09-12T10:48:44.239000+00:00,11364,1294,11,14
2026-09-12T10:48:44.239000+00:00,11364,1294,3,16
2026-09-12T10:48:44.239000+00:00,11364,1294,12,18
2026-09-12T10:48:44.239000+00:00,11364,1294,7,22
2026-09-12T10:48:44.239000+00:00,11364,1294,4,27
2026-09-12T10:48:44.239000+00:00,11364,1294,9,30
2026-09-12T10:48:44.239000+00:00,11364,1294,6,31
2026-09-12T10:48:44.239000+00:00,11364,1294,14,43
2026-09-12T10:48:44.239000+00:00,11364,1294,2,44
2026-09-12T10:48:44.239000+00:00,11364,1294,15,55
2026-09-12T10:48:44.239000+00:00,11364,1294,13,77
2026-09-12T10:48:44.239000+00:00,11364,1294,5,87
2026-09-12T10:49:04.308000+00:00,11364,1294,11,10
2026-09-12T10:49:04.308000+00:00,11364,1294,12,14
2026-09-12T10:49:04.308000+00:00,11364,1294,13,18
2026-09-12T10:49:04.308000+00:00,11364,1294,10,30
2026-09-12T10:49:04.308000+00:00,11364,1294,9,43
2026-09-12T10:49:04.308000+00:00,11364,1294,14,77
2026-09-12T10:49:12.436000+00:00,11364,1294,13,11
2026-09-12T10:49:12.436000+00:00,11364,1294,14,18
2026-09-12T10:49:12.436000+00:00,11364,1294,16,55
2026-09-12T10:49:12.436000+00:00,11364,1294,15,77
2026-09-12T10:49:27.299000+00:00,11364,1294,2,1
2026-09-12T10:49:27.299000+00:00,11364,1294,9,5
2026-09-12T10:49:27.299000+00:00,11364,1294,12,10
2026-09-12T10:49:27.299000+00:00,11364,1294,14,11
2026-09-12T10:49:27.299000+00:00,11364,1294,13,14
2026-09-12T10:49:27.299000+00:00,11364,1294,4,16
2026-09-12T10:49:27.299000+00:00,11364,1294,15,18
2026-09-12T10:49:27.299000+00:00,11364,1294,8,22
2026-09-12T10:49:27.299000+00:00,11364,1294,5,27
2026-09-12T10:49:27.299000+00:00,11364,1294,11,30
2026-09-12T10:49:27.299000+00:00,11364,1294,7,31
2026-09-12T10:49:27.299000+00:00,11364,1294,10,43
2026-09-12T10:49:27.299000+00:00,11364,1294,3,44
2026-09-12T10:49:27.299000+00:00,11364,1294,17,55
2026-09-12T10:49:27.299000+00:00,11364,1294,16,77
2026-09-12T10:49:27.299000+00:00,11364,1294,6,87
2026-09-12T10:50:04.307000+00:00,11364,1294,3,1
2026-09-12T10:50:04.307000+00:00,11364,1294,2,12
2026-09-12T10:50:04.307000+00:00,11364,1294,1,16
2026-09-12T10:50:04.307000+00:00,11364,1294,4,44
2026-09-12T10:51:49.934000+00:00,11364,1294,15,11
2026-09-12T10:51:49.934000+00:00,11364,1294,16,18
2026-09-12T10:51:49.934000+00:00,11364,1294,14,55
2026-09-12T10:51:49.934000+00:00,11364,1294,17,77
2026-09-12T11:35:31.329000+00:00,11364,1294,10,5
2026-09-12T11:35:31.329000+00:00,11364,1294,7,10
2026-09-12T11:35:31.329000+00:00,11364,1294,9,22
2026-09-12T11:35:31.329000+00:00,11364,1294,12,30
2026-09-12T11:35:31.329000+00:00,11364,1294,8,31
2026-09-12T11:35:31.329000+00:00,11364,1294,11,43
2026-09-12T11:35:38.184000+00:00,11364,1294,11,5
2026-09-12T11:35:38.184000+00:00,11364,1294,8,10
2026-09-12T11:35:38.184000+00:00,11364,1294,10,22
2026-09-12T11:35:38.184000+00:00,11364,1294,9,31
2026-09-12T11:35:38.184000+00:00,11364,1294,7,43
2026-09-12T11:36:01.829000+00:00,11364,1294,12,14
2026-09-12T11:36:01.829000+00:00,11364,1294,13,30
2026-09-12T11:36:08.095000+00:00,11364,1294,9,10
2026-09-12T11:36:08.095000+00:00,11364,1294,7,22
2026-09-12T11:36:08.095000+00:00,11364,1294,10,31
2026-09-12T11:36:08.095000+00:00,11364,1294,8,43
2026-09-12T11:36:20.660000+00:00,11364,1294,22,3
2026-09-12T11:36:20.660000+00:00,11364,1294,12,5
2026-09-12T11:36:20.660000+00:00,11364,1294,10,10
2026-09-12T11:36:20.660000+00:00,11364,1294,16,11
2026-09-12T11:36:20.660000+00:00,11364,1294,13,14
2026-09-12T11:36:20.660000+00:00,11364,1294,17,18
2026-09-12T11:36:20.660000+00:00,11364,1294,21,23
2026-09-12T11:36:20.660000+00:00,11364,1294,14,30
2026-09-12T11:36:20.660000+00:00,11364,1294,11,31
2026-09-12T11:36:20.660000+00:00,11364,1294,8,41
2026-09-12T11:36:20.660000+00:00,11364,1294,9,43
2026-09-12T11:36:20.660000+00:00,11364,1294,15,55
2026-09-12T11:36:20.660000+00:00,11364,1294,20,63
2026-09-12T11:36:20.660000+00:00,11364,1294,18,77
2026-09-12T11:36:20.660000+00:00,11364,1294,19,81
2026-09-12T11:36:25.973000+00:00,11364,1294,13,5
2026-09-12T11:36:25.973000+00:00,11364,1294,11,10
2026-09-12T11:36:25.973000+00:00,11364,1294,14,14
2026-09-12T11:36:25.973000+00:00,11364,1294,8,22
2026-09-12T11:36:25.973000+00:00,11364,1294,6,27
2026-09-12T11:36:25.973000+00:00,11364,1294,5,30
2026-09-12T11:36:25.973000+00:00,11364,1294,12,31
2026-09-12T11:36:25.973000+00:00,11364,1294,9,41
2026-09-12T11:36:25.973000+00:00,11364,1294,10,43
2026-09-12T11:36:25.973000+00:00,11364,1294,7,87
2026-09-12T11:36:32.032000+00:00,11364,1294,4,1
2026-09-12T11:36:32.032000+00:00,11364,1294,2,3
2026-09-12T11:36:32.032000+00:00,11364,1294,14,5
2026-09-12T11:36:32.032000+00:00,11364,1294,12,10
2026-09-12T11:36:32.032000+00:00,11364,1294,17,11
2026-09-12T11:36:32.032000+00:00,11364,1294,3,12
2026-09-12T11:36:32.032000+00:00,11364,1294,15,14
2026-09-12T11:36:32.032000+00:00,11364,1294,18,18
2026-09-12T11:36:32.032000+00:00,11364,1294,9,22
2026-09-12T11:36:32.032000+00:00,11364,1294,22,23
2026-09-12T11:36:32.032000+00:00,11364,1294,7,27
2026-09-12T11:36:32.032000+00:00,11364,1294,6,30
2026-09-12T11:36:32.032000+00:00,11364,1294,13,31
2026-09-12T11:36:32.032000+00:00,11364,1294,10,41
2026-09-12T11:36:32.032000+00:00,11364,1294,11,43
2026-09-12T11:36:32.032000+00:00,11364,1294,5,44
2026-09-12T11:36:32.032000+00:00,11364,1294,16,55
2026-09-12T11:36:32.032000+00:00,11364,1294,21,63
2026-09-12T11:36:32.032000+00:00,11364,1294,19,77
2026-09-12T11:36:32.032000+00:00,11364,1294,20,81
2026-09-12T11:36:32.032000+00:00,11364,1294,8,87
2026-09-12T11:36:50.167000+00:00,11364,1294,7,5
2026-09-12T11:36:50.167000+00:00,11364,1294,13,10
2026-09-12T11:36:50.167000+00:00,11364,1294,10,22
2026-09-12T11:36:50.167000+00:00,11364,1294,8,27
2026-09-12T11:36:50.167000+00:00,11364,1294,14,31
2026-09-12T11:36:50.167000+00:00,11364,1294,11,41
2026-09-12T11:36:50.167000+00:00,11364,1294,12,43
2026-09-12T11:36:50.167000+00:00,11364,1294,9,87
2026-09-12T11:36:56.558000+00:00,11364,1294,5,1
2026-09-12T11:36:56.558000+00:00,11364,1294,3,3
2026-09-12T11:36:56.558000+00:00,11364,1294,8,5
2026-09-12T11:36:56.558000+00:00,11364,1294,14,10
2026-09-12T11:36:56.558000+00:00,11364,1294,18,11
2026-09-12T11:36:56.558000+00:00,11364,1294,4,12
2026-09-12T11:36:56.558000+00:00,11364,1294,16,14
2026-09-12T11:36:56.558000+00:00,11364,1294,19,18
2026-09-12T11:36:56.558000+00:00,11364,1294,11,22
2026-09-12T11:36:56.558000+00:00,11364,1294,9,27
2026-09-12T11:36:56.558000+00:00,11364,1294,7,30
2026-09-12T11:36:56.558000+00:00,11364,1294,15,31
2026-09-12T11:36:56.558000+00:00,11364,1294,12,41
2026-09-12T11:36:56.558000+00:00,11364,1294,13,43
2026-09-12T11:36:56.558000+00:00,11364,1294,6,44
2026-09-12T11:36:56.558000+00:00,11364,1294,17,55
2026-09-12T11:36:56.558000+00:00,11364,1294,20,77
