date,session_key,driver_number,position,meeting_key
2026-06-12T15:05:28.627000+00:00,11301,43,5,1287
2026-06-12T15:05:28.627000+00:00,11301,44,7,1287
2026-06-12T15:05:28.627000+00:00,11301,87,9,1287
2026-06-12T15:05:42.613000+00:00,11301,11,15,1287
2026-06-12T15:05:42.613000+00:00,11301,14,14,1287
2026-06-12T15:06:04.082000+00:00,11301,11,16,1287
2026-06-12T15:06:04.082000+00:00,11301,18,15,1287
2026-06-12T15:07:16.393000+00:00,11301,1,4,1287
2026-06-12T15:07:16.393000+00:00,11301,3,2,1287
2026-06-12T15:07:16.393000+00:00,11301,5,7,1287
2026-06-12T15:07:16.393000+00:00,11301,6,12,1287
2026-06-12T15:07:16.393000+00:00,11301,10,11,1287
2026-06-12T15:07:16.393000+00:00,11301,11,17,1287
2026-06-12T15:07:16.393000+00:00,11301,12,5,1287
2026-06-12T15:07:16.393000+00:00,11301,14,15,1287
2026-06-12T15:07:16.393000+00:00,11301,16,3,1287
2026-06-12T15:07:16.393000+00:00,11301,18,16,1287
2026-06-12T15:07:16.393000+00:00,11301,23,14,1287
2026-06-12T15:07:16.393000+00:00,11301,27,13,1287
2026-06-12T15:07:16.393000+00:00,11301,31,9,1287
2026-06-12T15:07:16.393000+00:00,11301,43,6,1287
2026-06-12T15:07:16.393000+00:00,11301,44,8,1287
2026-06-12T15:07:16.393000+00:00,11301,81,1,1287
2026-06-12T15:07:16.393000+00:00,11301,87,10,1287
2026-06-12T15:07:37.942000+00:00,11301,5,8,1287
2026-06-12T15:07:37.942000+00:00,11301,6,13,1287
2026-06-12T15:07:37.942000+00:00,11301,10,12,1287
2026-06-12T15:07:37.942000+00:00,11301,11,18,1287
2026-06-12T15:07:37.942000+00:00,11301,14,16,1287
2026-06-12T15:07:37.942000+00:00,11301,18,17,1287
2026-06-12T15:07:37.942000+00:00,11301,23,15,1287
2026-06-12T15:07:37.942000+00:00,11301,27,14,1287
2026-06-12T15:07:37.942000+00:00,11301,31,10,1287
2026-06-12T15:07:37.942000+00:00,11301,41,6,1287
2026-06-12T15:07:37.942000+00:00,11301,43,7,1287
2026-06-12T15:07:37.942000+00:00,11301,44,9,1287
2026-06-12T15:07:37.942000+00:00,11301,87,11,1287
2026-06-12T15:07:52.427000+00:00,11301,5,9,1287
2026-06-12T15:07:52.427000+00:00,11301,6,14,1287
2026-06-12T15:07:52.427000+00:00,11301,10,13,1287
2026-06-12T15:07:52.427000+00:00,11301,11,19,1287
2026-06-12T15:07:52.427000+00:00,11301,12,6,1287
2026-06-12T15:07:52.427000+00:00,11301,14,17,1287
2026-06-12T15:07:52.427000+00:00,11301,18,18,1287
2026-06-12T15:07:52.427000+00:00,11301,23,16,1287
2026-06-12T15:07:52.427000+00:00,11301,27,15,1287
2026-06-12T15:07:52.427000+00:00,11301,30,5,1287
2026-06-12T15:07:52.427000+00:00,11301,31,11,1287
2026-06-12T15:07:52.427000+00:00,11301,41,7,1287
2026-06-12T15:07:52.427000+00:00,11301,43,8,1287
2026-06-12T15:07:52.427000+00:00,11301,44,10,1287
2026-06-12T15:07:52.427000+00:00,11301,87,12,1287
2026-06-12T15:08:01.442000+00:00,11301,11,18,1287
2026-06-12T15:08:01.442000+00:00,11301,18,19,1287
2026-06-12T15:08:04.290000+00:00,11301,6,15,1287
2026-06-12T15:08:04.290000+00:00,11301,10,14,1287
2026-06-12T15:08:04.290000+00:00,11301,11,19,1287
2026-06-12T15:08:04.290000+00:00,11301,14,18,1287
2026-06-12T15:08:04.290000+00:00,11301,18,20,1287
2026-06-12T15:08:04.290000+00:00,11301,23,17,1287
2026-06-12T15:08:04.290000+00:00,11301,27,16,1287
2026-06-12T15:08:04.290000+00:00,11301,31,12,1287
2026-06-12T15:08:04.290000+00:00,11301,44,11,1287
2026-06-12T15:08:04.290000+00:00,11301,55,10,1287
2026-06-12T15:08:04.290000+00:00,11301,87,13,1287
2026-06-12T15:08:33+00:00,11301,6,16,1287
2026-06-12T15:08:33+00:00,11301,10,15,1287
2026-06-12T15:08:33+00:00,11301,27,12,1287
2026-06-12T15:08:33+00:00,11301,31,13,1287
2026-06-12T15:08:33+00:00,11301,87,14,1287
2026-06-12T15:08:52.936000+00:00,11301,10,12,1287
2026-06-12T15:08:52.936000+00:00,11301,27,13,1287
2026-06-12T15:08:52.936000+00:00,11301,31,14,1287
2026-06-12T15:08:52.936000+00:00,11301,87,15,1287
2026-06-12T15:09:09.642000+00:00,11301,5,10,1287
2026-06-12T15:09:09.642000+00:00,11301,43,9,1287
2026-06-12T15:09:09.642000+00:00,11301,44,8,1287
2026-06-12T15:09:09.642000+00:00,11301,55,11,1287
2026-06-12T15:09:34.787000+00:00,11301,5,9,1287
2026-06-12T15:09:34.787000+00:00,11301,43,10,1287
2026-06-12T15:10:44.673000+00:00,11301,1,3,1287
2026-06-12T15:10:44.673000+00:00,11301,16,4,1287
2026-06-12T15:12:26.424000+00:00,11301,1,4,1287
2026-06-12T15:12:26.424000+00:00,11301,3,3,1287
2026-06-12T15:12:26.424000+00:00,11301,5,10,1287
2026-06-12T15:12:26.424000+00:00,11301,6,17,1287
2026-06-12T15:12:26.424000+00:00,11301,10,13,1287
2026-06-12T15:12:26.424000+00:00,11301,11,20,1287
2026-06-12T15:12:26.424000+00:00,11301,12,7,1287
2026-06-12T15:12:26.424000+00:00,11301,14,19,1287
2026-06-12T15:12:26.424000+00:00,11301,16,5,1287
2026-06-12T15:12:26.424000+00:00,11301,18,21,1287
2026-06-12T15:12:26.424000+00:00,11301,23,18,1287
2026-06-12T15:12:26.424000+00:00,11301,27,14,1287
2026-06-12T15:12:26.424000+00:00,11301,30,6,1287
2026-06-12T15:12:26.424000+00:00,11301,31,15,1287
2026-06-12T15:12:26.424000+00:00,11301,41,8,1287
2026-06-12T15:12:26.424000+00:00,11301,43,11,1287
2026-06-12T15:12:26.424000+00:00,11301,44,9,1287
2026-06-12T15:12:26.424000+00:00,11301,55,12,1287
2026-06-12T15:12:26.424000+00:00,11301,63,2,1287
2026-06-12T15:12:26.424000+00:00,11301,87,16,1287
2026-06-12T15:14:10.995000+00:00,11301,10,14,1287
2026-06-12T15:14:10.995000+00:00,11301,27,12,1287
2026-06-12T15:14:10.995000+00:00,11301,55,13,1287
2026-06-12T15:21:43.029000+00:00,11301,12,6,1287
2026-06-12T15:21:43.029000+00:00,11301,30,7,1287
2026-06-12T15:23:43.742000+00:00,11301,5,11,1287
2026-06-12T15:23:43.742000+00:00,11301,27,13,1287
2026-06-12T15:23:43.742000+00:00,11301,41,9,1287
2026-06-12T15:23:43.742000+00:00,11301,43,12,1287
2026-06-12T15:23:43.742000+00:00,11301,44,10,1287
2026-06-12T15:23:43.742000+00:00,11301,55,8,1287
2026-06-12T15:25:45.887000+00:00,11301,11,19,1287
2026-06-12T15:25:45.887000+00:00,11301,14,20,1287
2026-06-12T15:26:12.409000+00:00,11301,5,12,1287
2026-06-12T15:26:12.409000+00:00,11301,12,7,1287
2026-06-12T15:26:12.409000+00:00,11301,27,6,1287
2026-06-12T15:26:12.409000+00:00,11301,30,8,1287
2026-06-12T15:26:12.409000+00:00,11301,41,10,1287
2026-06-12T15:26:12.409000+00:00,11301,43,13,1287
2026-06-12T15:26:12.409000+00:00,11301,44,11,1287
2026-06-12T15:26:12.409000+00:00,11301,55,9,1287
2026-06-12T15:26:45.250000+00:00,11301,14,21,1287
2026-06-12T15:26:45.250000+00:00,11301,18,20,1287
2026-06-12T15:26:57.370000+00:00,11301,5,13,1287
2026-06-12T15:26:57.370000+00:00,11301,10,15,1287
2026-06-12T15:26:57.370000+00:00,11301,31,12,1287
2026-06-12T15:26:57.370000+00:00,11301,43,14,1287
2026-06-12T15:27:34.823000+00:00,11301,5,14,1287
2026-06-12T15:27:34.823000+00:00,11301,6,6,1287
