date,session_key,meeting_key,position,driver_number
2026-07-25T14:03:32.841000+00:00,11338,1291,13,30
2026-07-25T14:03:32.841000+00:00,11338,1291,14,27
2026-07-25T14:03:32.841000+00:00,11338,1291,15,5
2026-07-25T14:03:32.841000+00:00,11338,1291,16,10
2026-07-25T14:03:32.841000+00:00,11338,1291,17,41
2026-07-25T14:03:32.841000+00:00,11338,1291,18,43
2026-07-25T14:03:32.841000+00:00,11338,1291,19,31
2026-07-25T14:03:32.841000+00:00,11338,1291,20,87
2026-07-25T14:03:32.841000+00:00,11338,1291,1,14
2026-07-25T14:03:32.841000+00:00,11338,1291,2,18
2026-07-25T14:03:32.841000+00:00,11338,1291,4,77
2026-07-25T14:03:32.841000+00:00,11338,1291,3,23
2026-07-25T14:04:40.607000+00:00,11338,1291,6,1
2026-07-25T14:04:40.607000+00:00,11338,1291,7,44
2026-07-25T14:04:40.607000+00:00,11338,1291,8,12
2026-07-25T14:04:40.607000+00:00,11338,1291,9,16
2026-07-25T14:04:40.607000+00:00,11338,1291,10,81
2026-07-25T14:04:40.607000+00:00,11338,1291,11,63
2026-07-25T14:04:40.607000+00:00,11338,1291,12,3
2026-07-25T14:04:40.607000+00:00,11338,1291,13,6
2026-07-25T14:04:40.607000+00:00,11338,1291,14,30
2026-07-25T14:04:40.607000+00:00,11338,1291,15,27
2026-07-25T14:04:40.607000+00:00,11338,1291,16,5
2026-07-25T14:04:40.607000+00:00,11338,1291,17,10
2026-07-25T14:04:40.607000+00:00,11338,1291,18,41
2026-07-25T14:04:40.607000+00:00,11338,1291,19,43
2026-07-25T14:04:40.607000+00:00,11338,1291,20,31
2026-07-25T14:04:40.607000+00:00,11338,1291,21,87
2026-07-25T14:04:40.607000+00:00,11338,1291,22,55
2026-07-25T14:04:40.607000+00:00,11338,1291,5,11
2026-07-25T14:05:05.475000+00:00,11338,1291,7,1
2026-07-25T14:05:05.475000+00:00,11338,1291,1,44
2026-07-25T14:05:05.475000+00:00,11338,1291,2,14
2026-07-25T14:05:05.475000+00:00,11338,1291,3,18
2026-07-25T14:05:05.475000+00:00,11338,1291,5,77
2026-07-25T14:05:05.475000+00:00,11338,1291,4,23
2026-07-25T14:05:05.475000+00:00,11338,1291,6,11
2026-07-25T14:05:15.366000+00:00,11338,1291,8,1
2026-07-25T14:05:15.366000+00:00,11338,1291,9,12
2026-07-25T14:05:15.366000+00:00,11338,1291,2,16
2026-07-25T14:05:15.366000+00:00,11338,1291,3,14
2026-07-25T14:05:15.366000+00:00,11338,1291,4,18
2026-07-25T14:05:15.366000+00:00,11338,1291,6,77
2026-07-25T14:05:15.366000+00:00,11338,1291,5,23
2026-07-25T14:05:15.366000+00:00,11338,1291,7,11
2026-07-25T14:06:04.476000+00:00,11338,1291,7,1
2026-07-25T14:06:04.476000+00:00,11338,1291,8,12
2026-07-25T14:06:04.476000+00:00,11338,1291,9,16
2026-07-25T14:06:04.476000+00:00,11338,1291,2,14
2026-07-25T14:06:04.476000+00:00,11338,1291,3,18
2026-07-25T14:06:04.476000+00:00,11338,1291,5,77
2026-07-25T14:06:04.476000+00:00,11338,1291,4,23
2026-07-25T14:06:04.476000+00:00,11338,1291,6,11
2026-07-25T14:07:00.366000+00:00,11338,1291,8,1
2026-07-25T14:07:00.366000+00:00,11338,1291,9,12
2026-07-25T14:07:00.366000+00:00,11338,1291,7,16
2026-07-25T14:07:14.746000+00:00,11338,1291,9,1
2026-07-25T14:07:14.746000+00:00,11338,1291,7,12
2026-07-25T14:07:14.746000+00:00,11338,1291,8,16
2026-07-25T14:07:23.368000+00:00,11338,1291,10,1
2026-07-25T14:07:23.368000+00:00,11338,1291,2,44
2026-07-25T14:07:23.368000+00:00,11338,1291,8,12
2026-07-25T14:07:23.368000+00:00,11338,1291,9,16
2026-07-25T14:07:23.368000+00:00,11338,1291,11,81
2026-07-25T14:07:23.368000+00:00,11338,1291,12,63
2026-07-25T14:07:23.368000+00:00,11338,1291,1,3
2026-07-25T14:07:23.368000+00:00,11338,1291,3,14
2026-07-25T14:07:23.368000+00:00,11338,1291,4,18
2026-07-25T14:07:23.368000+00:00,11338,1291,6,77
2026-07-25T14:07:23.368000+00:00,11338,1291,5,23
2026-07-25T14:07:23.368000+00:00,11338,1291,7,11
2026-07-25T14:07:30.555000+00:00,11338,1291,11,1
2026-07-25T14:07:30.555000+00:00,11338,1291,9,12
2026-07-25T14:07:30.555000+00:00,11338,1291,10,16
2026-07-25T14:07:30.555000+00:00,11338,1291,12,81
2026-07-25T14:07:30.555000+00:00,11338,1291,13,63
2026-07-25T14:07:30.555000+00:00,11338,1291,3,6
2026-07-25T14:07:30.555000+00:00,11338,1291,4,14
2026-07-25T14:07:30.555000+00:00,11338,1291,5,18
2026-07-25T14:07:30.555000+00:00,11338,1291,7,77
2026-07-25T14:07:30.555000+00:00,11338,1291,6,23
2026-07-25T14:07:30.555000+00:00,11338,1291,8,11
2026-07-25T14:07:40.311000+00:00,11338,1291,12,1
2026-07-25T14:07:40.311000+00:00,11338,1291,11,16
2026-07-25T14:07:40.311000+00:00,11338,1291,13,81
2026-07-25T14:07:40.311000+00:00,11338,1291,10,63
2026-07-25T14:08:08.395000+00:00,11338,1291,13,1
2026-07-25T14:08:08.395000+00:00,11338,1291,10,12
2026-07-25T14:08:08.395000+00:00,11338,1291,12,16
2026-07-25T14:08:08.395000+00:00,11338,1291,14,81
2026-07-25T14:08:08.395000+00:00,11338,1291,11,63
2026-07-25T14:08:08.395000+00:00,11338,1291,15,30
2026-07-25T14:08:08.395000+00:00,11338,1291,16,27
2026-07-25T14:08:08.395000+00:00,11338,1291,17,5
2026-07-25T14:08:08.395000+00:00,11338,1291,4,10
2026-07-25T14:08:08.395000+00:00,11338,1291,5,14
2026-07-25T14:08:08.395000+00:00,11338,1291,6,18
2026-07-25T14:08:08.395000+00:00,11338,1291,8,77
2026-07-25T14:08:08.395000+00:00,11338,1291,7,23
2026-07-25T14:08:08.395000+00:00,11338,1291,9,11
2026-07-25T14:08:17.708000+00:00,11338,1291,14,1
2026-07-25T14:08:17.708000+00:00,11338,1291,13,16
2026-07-25T14:08:17.708000+00:00,11338,1291,12,81
2026-07-25T14:08:19.770000+00:00,11338,1291,11,12
2026-07-25T14:08:19.770000+00:00,11338,1291,4,16
2026-07-25T14:08:19.770000+00:00,11338,1291,13,81
2026-07-25T14:08:19.770000+00:00,11338,1291,12,63
2026-07-25T14:08:19.770000+00:00,11338,1291,5,10
2026-07-25T14:08:19.770000+00:00,11338,1291,6,14
2026-07-25T14:08:19.770000+00:00,11338,1291,7,18
2026-07-25T14:08:19.770000+00:00,11338,1291,9,77
2026-07-25T14:08:19.770000+00:00,11338,1291,8,23
2026-07-25T14:08:19.770000+00:00,11338,1291,10,11
2026-07-25T14:08:26.485000+00:00,11338,1291,15,1
2026-07-25T14:08:26.485000+00:00,11338,1291,12,12
2026-07-25T14:08:26.485000+00:00,11338,1291,14,81
2026-07-25T14:08:26.485000+00:00,11338,1291,13,63
2026-07-25T14:08:26.485000+00:00,11338,1291,16,30
2026-07-25T14:08:26.485000+00:00,11338,1291,17,27
2026-07-25T14:08:26.485000+00:00,11338,1291,18,5
2026-07-25T14:08:26.485000+00:00,11338,1291,6,10
2026-07-25T14:08:26.485000+00:00,11338,1291,19,41
2026-07-25T14:08:26.485000+00:00,11338,1291,5,43
2026-07-25T14:08:26.485000+00:00,11338,1291,7,14
2026-07-25T14:08:26.485000+00:00,11338,1291,8,18
2026-07-25T14:08:26.485000+00:00,11338,1291,10,77
