date,session_key,driver_number,meeting_key,position
2026-07-24T15:00:49.567000+00:00,11336,12,1291,15
2026-07-24T15:00:49.567000+00:00,11336,14,1291,16
2026-07-24T15:00:49.567000+00:00,11336,18,1291,17
2026-07-24T15:00:49.567000+00:00,11336,23,1291,18
2026-07-24T15:00:49.567000+00:00,11336,31,1291,19
2026-07-24T15:00:49.567000+00:00,11336,41,1291,11
2026-07-24T15:01:14.543000+00:00,11336,3,1291,14
2026-07-24T15:01:14.543000+00:00,11336,6,1291,15
2026-07-24T15:01:14.543000+00:00,11336,12,1291,16
2026-07-24T15:01:14.543000+00:00,11336,14,1291,17
2026-07-24T15:01:14.543000+00:00,11336,18,1291,18
2026-07-24T15:01:14.543000+00:00,11336,23,1291,13
2026-07-24T15:02:04.026000+00:00,11336,3,1291,15
2026-07-24T15:02:04.026000+00:00,11336,6,1291,16
2026-07-24T15:02:04.026000+00:00,11336,12,1291,14
2026-07-24T15:02:38.565000+00:00,11336,3,1291,16
2026-07-24T15:02:38.565000+00:00,11336,6,1291,17
2026-07-24T15:02:38.565000+00:00,11336,14,1291,18
2026-07-24T15:02:38.565000+00:00,11336,18,1291,19
2026-07-24T15:02:38.565000+00:00,11336,31,1291,15
2026-07-24T15:03:05.458000+00:00,11336,3,1291,17
2026-07-24T15:03:05.458000+00:00,11336,6,1291,18
2026-07-24T15:03:05.458000+00:00,11336,14,1291,19
2026-07-24T15:03:05.458000+00:00,11336,18,1291,20
2026-07-24T15:03:05.458000+00:00,11336,55,1291,16
2026-07-24T15:03:07.339000+00:00,11336,3,1291,18
2026-07-24T15:03:07.339000+00:00,11336,6,1291,17
2026-07-24T15:03:10.809000+00:00,11336,3,1291,19
2026-07-24T15:03:10.809000+00:00,11336,14,1291,20
2026-07-24T15:03:10.809000+00:00,11336,18,1291,21
2026-07-24T15:03:10.809000+00:00,11336,63,1291,22
2026-07-24T15:03:10.809000+00:00,11336,87,1291,18
2026-07-24T15:03:13.563000+00:00,11336,43,1291,1
2026-07-24T15:03:13.563000+00:00,11336,77,1291,2
2026-07-24T15:03:18.756000+00:00,11336,5,1291,5
2026-07-24T15:03:18.756000+00:00,11336,10,1291,1
2026-07-24T15:03:18.756000+00:00,11336,27,1291,4
2026-07-24T15:03:18.756000+00:00,11336,43,1291,2
2026-07-24T15:03:18.756000+00:00,11336,77,1291,3
2026-07-24T15:03:28.095000+00:00,11336,5,1291,6
2026-07-24T15:03:28.095000+00:00,11336,11,1291,3
2026-07-24T15:03:28.095000+00:00,11336,27,1291,5
2026-07-24T15:03:28.095000+00:00,11336,77,1291,4
2026-07-24T15:03:28.505000+00:00,11336,10,1291,2
2026-07-24T15:03:28.505000+00:00,11336,11,1291,4
2026-07-24T15:03:28.505000+00:00,11336,27,1291,1
2026-07-24T15:03:28.505000+00:00,11336,43,1291,3
2026-07-24T15:03:28.505000+00:00,11336,77,1291,5
2026-07-24T15:03:35.392000+00:00,11336,5,1291,7
2026-07-24T15:03:35.392000+00:00,11336,10,1291,3
2026-07-24T15:03:35.392000+00:00,11336,11,1291,5
2026-07-24T15:03:35.392000+00:00,11336,30,1291,2
2026-07-24T15:03:35.392000+00:00,11336,43,1291,4
2026-07-24T15:03:35.392000+00:00,11336,77,1291,6
2026-07-24T15:03:37.342000+00:00,11336,3,1291,20
2026-07-24T15:03:37.342000+00:00,11336,14,1291,21
2026-07-24T15:03:37.342000+00:00,11336,18,1291,22
2026-07-24T15:03:37.342000+00:00,11336,63,1291,19
2026-07-24T15:03:40.534000+00:00,11336,3,1291,21
2026-07-24T15:03:40.534000+00:00,11336,14,1291,20
2026-07-24T15:03:41.064000+00:00,11336,5,1291,2
2026-07-24T15:03:41.064000+00:00,11336,10,1291,4
2026-07-24T15:03:41.064000+00:00,11336,11,1291,6
2026-07-24T15:03:41.064000+00:00,11336,30,1291,3
2026-07-24T15:03:41.064000+00:00,11336,43,1291,5
2026-07-24T15:03:41.064000+00:00,11336,77,1291,7
2026-07-24T15:03:46.828000+00:00,11336,5,1291,3
2026-07-24T15:03:46.828000+00:00,11336,10,1291,5
2026-07-24T15:03:46.828000+00:00,11336,11,1291,7
2026-07-24T15:03:46.828000+00:00,11336,16,1291,1
2026-07-24T15:03:46.828000+00:00,11336,27,1291,2
2026-07-24T15:03:46.828000+00:00,11336,30,1291,4
2026-07-24T15:03:46.828000+00:00,11336,43,1291,6
2026-07-24T15:03:46.828000+00:00,11336,77,1291,8
2026-07-24T15:04:05.763000+00:00,11336,44,1291,10
2026-07-24T15:04:05.763000+00:00,11336,77,1291,9
2026-07-24T15:04:05.763000+00:00,11336,81,1291,8
2026-07-24T15:04:08.127000+00:00,11336,5,1291,4
2026-07-24T15:04:08.127000+00:00,11336,10,1291,6
2026-07-24T15:04:08.127000+00:00,11336,11,1291,8
2026-07-24T15:04:08.127000+00:00,11336,30,1291,5
2026-07-24T15:04:08.127000+00:00,11336,41,1291,3
2026-07-24T15:04:08.127000+00:00,11336,43,1291,7
2026-07-24T15:04:08.127000+00:00,11336,44,1291,11
2026-07-24T15:04:08.127000+00:00,11336,77,1291,10
2026-07-24T15:04:08.127000+00:00,11336,81,1291,9
2026-07-24T15:04:14.612000+00:00,11336,5,1291,5
2026-07-24T15:04:14.612000+00:00,11336,10,1291,7
2026-07-24T15:04:14.612000+00:00,11336,11,1291,9
2026-07-24T15:04:14.612000+00:00,11336,16,1291,2
2026-07-24T15:04:14.612000+00:00,11336,27,1291,3
2026-07-24T15:04:14.612000+00:00,11336,30,1291,6
2026-07-24T15:04:14.612000+00:00,11336,41,1291,4
2026-07-24T15:04:14.612000+00:00,11336,43,1291,8
2026-07-24T15:04:14.612000+00:00,11336,44,1291,1
2026-07-24T15:04:14.612000+00:00,11336,77,1291,11
2026-07-24T15:04:14.612000+00:00,11336,81,1291,10
2026-07-24T15:04:25.300000+00:00,11336,1,1291,13
2026-07-24T15:04:25.300000+00:00,11336,11,1291,10
2026-07-24T15:04:25.300000+00:00,11336,23,1291,9
2026-07-24T15:04:25.300000+00:00,11336,77,1291,12
2026-07-24T15:04:25.300000+00:00,11336,81,1291,11
2026-07-24T15:04:31.026000+00:00,11336,1,1291,3
2026-07-24T15:04:31.026000+00:00,11336,5,1291,6
2026-07-24T15:04:31.026000+00:00,11336,10,1291,8
2026-07-24T15:04:31.026000+00:00,11336,11,1291,11
2026-07-24T15:04:31.026000+00:00,11336,23,1291,10
2026-07-24T15:04:31.026000+00:00,11336,27,1291,4
2026-07-24T15:04:31.026000+00:00,11336,30,1291,7
2026-07-24T15:04:31.026000+00:00,11336,41,1291,5
2026-07-24T15:04:31.026000+00:00,11336,43,1291,9
2026-07-24T15:04:31.026000+00:00,11336,77,1291,13
2026-07-24T15:04:31.026000+00:00,11336,81,1291,12
2026-07-24T15:05:07.854000+00:00,11336,10,1291,9
2026-07-24T15:05:07.854000+00:00,11336,11,1291,12
2026-07-24T15:05:07.854000+00:00,11336,12,1291,8
2026-07-24T15:05:07.854000+00:00,11336,23,1291,11
2026-07-24T15:05:07.854000+00:00,11336,43,1291,10
2026-07-24T15:05:07.854000+00:00,11336,77,1291,14
2026-07-24T15:05:07.854000+00:00,11336,81,1291,13
2026-07-24T15:05:08.064000+00:00,11336,77,1291,13
2026-07-24T15:05:08.064000+00:00,11336,81,1291,14
2026-07-24T15:05:24.217000+00:00,11336,11,1291,13
2026-07-24T15:05:24.217000+00:00,11336,77,1291,12
2026-07-24T15:05:39.921000+00:00,11336,10,1291,10
2026-07-24T15:05:39.921000+00:00,11336,11,1291,14
2026-07-24T15:05:39.921000+00:00,11336,12,1291,9
2026-07-24T15:05:39.921000+00:00,11336,23,1291,12
2026-07-24T15:05:39.921000+00:00,11336,30,1291,8
2026-07-24T15:05:39.921000+00:00,11336,31,1291,7
2026-07-24T15:05:39.921000+00:00,11336,43,1291,11
2026-07-24T15:05:39.921000+00:00,11336,77,1291,13
2026-07-24T15:05:39.921000+00:00,11336,81,1291,15
2026-07-24T15:05:58.914000+00:00,11336,11,1291,15
2026-07-24T15:05:58.914000+00:00,11336,81,1291,14
2026-07-24T15:06:01.097000+00:00,11336,11,1291,16
2026-07-24T15:06:01.097000+00:00,11336,23,1291,13
2026-07-24T15:06:01.097000+00:00,11336,43,1291,12
2026-07-24T15:06:01.097000+00:00,11336,55,1291,11
2026-07-24T15:06:01.097000+00:00,11336,77,1291,14
2026-07-24T15:06:01.097000+00:00,11336,81,1291,15
2026-07-24T15:06:14.575000+00:00,11336,6,1291,18
2026-07-24T15:06:14.575000+00:00,11336,10,1291,11
2026-07-24T15:06:14.575000+00:00,11336,11,1291,17
2026-07-24T15:06:14.575000+00:00,11336,23,1291,14
2026-07-24T15:06:14.575000+00:00,11336,43,1291,13
2026-07-24T15:06:14.575000+00:00,11336,55,1291,12
2026-07-24T15:06:14.575000+00:00,11336,77,1291,15
2026-07-24T15:06:14.575000+00:00,11336,81,1291,16
2026-07-24T15:06:14.575000+00:00,11336,87,1291,10
2026-07-24T15:06:27.964000+00:00,11336,6,1291,16
2026-07-24T15:06:27.964000+00:00,11336,11,1291,18
2026-07-24T15:06:27.964000+00:00,11336,81,1291,17
2026-07-24T15:06:30.369000+00:00,11336,5,1291,7
2026-07-24T15:06:30.369000+00:00,11336,6,1291,17
2026-07-24T15:06:30.369000+00:00,11336,10,1291,12
2026-07-24T15:06:30.369000+00:00,11336,11,1291,19
2026-07-24T15:06:30.369000+00:00,11336,12,1291,10
2026-07-24T15:06:30.369000+00:00,11336,23,1291,15
2026-07-24T15:06:30.369000+00:00,11336,27,1291,5
2026-07-24T15:06:30.369000+00:00,11336,30,1291,9
2026-07-24T15:06:30.369000+00:00,11336,31,1291,8
2026-07-24T15:06:30.369000+00:00,11336,41,1291,6
2026-07-24T15:06:30.369000+00:00,11336,43,1291,14
2026-07-24T15:06:30.369000+00:00,11336,55,1291,13
2026-07-24T15:06:30.369000+00:00,11336,63,1291,4
2026-07-24T15:06:30.369000+00:00,11336,77,1291,16
2026-07-24T15:06:30.369000+00:00,11336,81,1291,18
2026-07-24T15:06:30.369000+00:00,11336,87,1291,11
2026-07-24T15:06:53.268000+00:00,11336,6,1291,18
2026-07-24T15:06:53.268000+00:00,11336,11,1291,13
2026-07-24T15:06:53.268000+00:00,11336,23,1291,16
2026-07-24T15:06:53.268000+00:00,11336,43,1291,15
2026-07-24T15:06:53.268000+00:00,11336,55,1291,14
2026-07-24T15:06:53.268000+00:00,11336,77,1291,17
2026-07-24T15:06:53.268000+00:00,11336,81,1291,19
2026-07-24T15:07:00.601000+00:00,11336,14,1291,19
2026-07-24T15:07:00.601000+00:00,11336,81,1291,20
2026-07-24T15:07:18.349000+00:00,11336,6,1291,20
2026-07-24T15:07:18.349000+00:00,11336,14,1291,18
2026-07-24T15:07:18.349000+00:00,11336,81,1291,19
