date,session_key,meeting_key,lane_duration,stop_duration,pit_duration,lap_number,driver_number
2026-09-11T12:13:57.632000+00:00,11362,1294,318.4,,318.4,16,31
2026-09-11T12:14:25.168000+00:00,11362,1294,403.2,,403.2,16,3
2026-09-11T12:15:07.070000+00:00,11362,1294,36.8,,36.8,18,11
2026-09-11T12:15:27.113000+00:00,11362,1294,34.7,,34.7,14,10
2026-09-11T12:15:57.387000+00:00,11362,1294,34.4,,34.4,16,43
2026-09-11T12:17:14.607000+00:00,11362,1294,51.6,,51.6,19,16
2026-09-11T12:17:24.728000+00:00,11362,1294,41.9,,41.9,17,27
2026-09-11T12:18:03.968000+00:00,11362,1294,48.1,,48.1,20,5
2026-09-11T12:20:39.613000+00:00,11362,1294,47.5,,47.5,19,31
2026-09-11T12:20:43.535000+00:00,11362,1294,56.4,,56.4,18,87
2026-09-11T12:20:50.188000+00:00,11362,1294,320.0,,320.0,19,23
2026-09-11T12:20:57.547000+00:00,11362,1294,33.8,,33.8,19,3
2026-09-11T12:22:01.413000+00:00,11362,1294,203.0,,203.0,22,41
2026-09-11T12:22:21.440000+00:00,11362,1294,276.7,,276.7,22,63
2026-09-11T12:24:32.309000+00:00,11362,1294,25.6,,25.6,23,5
2026-09-11T12:26:31.308000+00:00,11362,1294,289.7,,289.7,23,12
2026-09-11T12:27:21.852000+00:00,11362,1294,41.5,,41.5,22,31
2026-09-11T12:27:25.680000+00:00,11362,1294,41.5,,41.5,21,87
2026-09-11T12:28:12.147000+00:00,11362,1294,723.7,,723.7,19,81
2026-09-11T12:28:51.984000+00:00,11362,1294,31.5,,31.5,24,30
2026-09-11T12:29:34.838000+00:00,11362,1294,34.8,,34.8,25,1
2026-09-11T12:29:46.645000+00:00,11362,1294,34.0,,34.0,28,55
