date,session_key,lap_number,pit_duration,lane_duration,stop_duration,driver_number,meeting_key
2026-07-18T14:13:29.078000+00:00,11330,4,212.0,212.0,,14,1290
2026-07-18T14:13:33.760000+00:00,11330,4,185.1,185.1,,23,1290
2026-07-18T14:13:38.049000+00:00,11330,4,127.1,127.1,,81,1290
2026-07-18T14:13:45.597000+00:00,11330,4,172.3,172.3,,27,1290
2026-07-18T14:13:52.296000+00:00,11330,4,157.5,157.5,,44,1290
2026-07-18T14:14:11.644000+00:00,11330,4,276.8,276.8,,10,1290
2026-07-18T14:14:18.189000+00:00,11330,4,276.6,276.6,,43,1290
2026-07-18T14:14:24.584000+00:00,11330,6,127.6,127.6,,18,1290
2026-07-18T14:15:10.373000+00:00,11330,4,258.4,258.4,,5,1290
2026-07-18T14:26:29.536000+00:00,11330,7,345.9,345.9,,43,1290
2026-07-18T14:26:34.862000+00:00,11330,7,355.4,355.4,,10,1290
2026-07-18T14:26:39.062000+00:00,11330,7,462.9,462.9,,12,1290
2026-07-18T14:26:46.861000+00:00,11330,7,455.9,455.9,,63,1290
2026-07-18T14:26:52.054000+00:00,11330,7,419.9,419.9,,87,1290
2026-07-18T14:27:01.280000+00:00,11330,7,452.4,452.4,,55,1290
2026-07-18T14:27:09.037000+00:00,11330,4,951.9,951.9,,6,1290
2026-07-18T14:27:16.029000+00:00,11330,4,1053.2,1053.2,,3,1290
2026-07-18T14:27:21.384000+00:00,11330,7,364.4,364.4,,5,1290
2026-07-18T14:27:27.275000+00:00,11330,7,444.0,444.0,,81,1290
2026-07-18T14:27:33.707000+00:00,11330,7,482.0,482.0,,41,1290
2026-07-18T14:27:37.416000+00:00,11330,7,481.9,481.9,,30,1290
2026-07-18T14:27:44.477000+00:00,11330,4,966.8,966.8,,1,1290
2026-07-18T14:27:49.356000+00:00,11330,7,473.5,473.5,,16,1290
2026-07-18T14:27:57.669000+00:00,11330,7,456.0,456.0,,44,1290
2026-07-18T14:28:01.865000+00:00,11330,7,463.1,463.1,,27,1290
2026-07-18T14:35:56.379000+00:00,11330,7,161.2,161.2,,6,1290
2026-07-18T14:36:03.552000+00:00,11330,10,192.3,192.3,,10,1290
2026-07-18T14:36:06.898000+00:00,11330,10,202.7,202.7,,43,1290
2026-07-18T14:36:10.006000+00:00,11330,10,183.5,183.5,,55,1290
2026-07-18T14:36:15.834000+00:00,11330,10,191.4,191.4,,63,1290
2026-07-18T14:36:20.138000+00:00,11330,10,206.5,206.5,,87,1290
2026-07-18T14:36:24.800000+00:00,11330,10,126.8,126.8,,16,1290
2026-07-18T14:36:33.205000+00:00,11330,10,167.8,167.8,,41,1290
2026-07-18T14:36:36.555000+00:00,11330,10,152.6,152.6,,27,1290
2026-07-18T14:36:42.245000+00:00,11330,10,179.1,179.1,,81,1290
2026-07-18T14:36:46.174000+00:00,11330,10,194.8,194.8,,5,1290
2026-07-18T14:36:50.152000+00:00,11330,10,182.6,182.6,,30,1290
2026-07-18T14:50:11.415000+00:00,11330,10,498.9,498.9,,6,1290
2026-07-18T14:50:15.554000+00:00,11330,7,1013.6,1013.6,,3,1290
2026-07-18T14:50:17.854000+00:00,11330,10,1045.5,1045.5,,12,1290
2026-07-18T14:50:24.262000+00:00,11330,13,476.0,476.0,,63,1290
2026-07-18T14:50:29.521000+00:00,11330,13,464.3,464.3,,41,1290
2026-07-18T14:50:36.625000+00:00,11330,13,476.8,476.8,,16,1290
2026-07-18T14:50:39.039000+00:00,11330,13,451.1,451.1,,5,1290
2026-07-18T14:50:45.038000+00:00,11330,12,577.1,577.1,,81,1290
2026-07-18T14:50:50.975000+00:00,11330,10,991.1,991.1,,44,1290
2026-07-18T14:51:01.066000+00:00,11330,7,1012.6,1012.6,,1,1290
2026-07-18T15:05:49.157000+00:00,11330,12,702.7,702.7,,6,1290
2026-07-18T15:05:55.305000+00:00,11330,10,588.9,588.9,,3,1290
2026-07-18T15:05:57.610000+00:00,11330,13,585.4,585.4,,12,1290
2026-07-18T15:06:00.566000+00:00,11330,16,555.3,555.3,,5,1290
2026-07-18T15:06:05.696000+00:00,11330,16,578.5,578.5,,63,1290
2026-07-18T15:06:09.062000+00:00,11330,16,567.9,567.9,,16,1290
2026-07-18T15:06:14.746000+00:00,11330,13,565.2,565.2,,44,1290
2026-07-18T15:06:20.973000+00:00,11330,16,590.3,590.3,,41,1290
2026-07-18T15:06:28.508000+00:00,11330,15,580.5,580.5,,81,1290
2026-07-18T15:06:36.966000+00:00,11330,10,1948.5,1948.5,,1,1290
