date,session_key,track_temperature,air_temperature,pressure,wind_speed,humidity,wind_direction,rainfall,meeting_key
2026-06-27T11:07:41.548000+00:00,11310,51.9,31.6,944.2,1.6,29.2,83,0,1288
2026-06-27T11:08:41.549000+00:00,11310,51.2,31.6,944.3,1.4,29.3,102,0,1288
2026-06-27T11:09:41.542000+00:00,11310,51.2,31.5,944.3,1.4,29.3,102,0,1288
2026-06-27T11:10:41.548000+00:00,11310,51.2,31.5,944.3,1.4,29.3,102,0,1288
2026-06-27T11:11:41.547000+00:00,11310,51.2,31.7,944.3,1.4,29.3,102,0,1288
2026-06-27T11:12:41.550000+00:00,11310,51.2,31.8,944.3,1.4,29.3,102,0,1288
2026-06-27T11:13:41.564000+00:00,11310,51.2,31.8,944.3,1.4,29.3,102,0,1288
2026-06-27T11:14:41.582000+00:00,11310,51.2,31.8,944.3,1.4,29.3,102,0,1288
2026-06-27T11:15:41.584000+00:00,11310,51.2,31.8,944.3,1.4,29.3,102,0,1288
2026-06-27T11:16:41.583000+00:00,11310,51.6,31.9,944.2,2.0,28.7,266,0,1288
2026-06-27T11:17:41.581000+00:00,11310,51.5,31.7,944.2,0.9,28.8,305,0,1288
2026-06-27T11:18:41.583000+00:00,11310,51.5,31.7,944.2,0.9,28.8,305,0,1288
2026-06-27T11:19:41.592000+00:00,11310,52.0,31.8,944.3,0.9,28.4,80,0,1288
2026-06-27T11:20:41.587000+00:00,11310,52.0,31.9,944.3,0.9,28.4,80,0,1288
2026-06-27T11:21:41.587000+00:00,11310,52.0,31.7,944.3,0.9,28.4,80,0,1288
2026-06-27T11:22:41.605000+00:00,11310,52.6,31.8,944.2,1.0,28.7,104,0,1288
2026-06-27T11:23:41.621000+00:00,11310,52.3,32.3,944.2,0.7,27.9,279,0,1288
2026-06-27T11:24:41.637000+00:00,11310,52.3,32.3,944.2,0.7,27.9,279,0,1288
2026-06-27T11:25:41.636000+00:00,11310,52.0,32.2,944.2,1.9,27.3,62,0,1288
2026-06-27T11:26:41.657000+00:00,11310,52.5,32.1,944.1,1.7,27.4,68,0,1288
2026-06-27T11:27:41.671000+00:00,11310,52.7,32.4,944.1,0.8,27.2,44,0,1288
2026-06-27T11:28:41.673000+00:00,11310,52.7,32.4,944.1,0.8,27.2,44,0,1288
2026-06-27T11:29:41.674000+00:00,11310,52.7,32.6,944.1,0.5,26.9,88,0,1288
2026-06-27T11:30:41.670000+00:00,11310,52.7,32.2,944.1,0.5,26.9,88,0,1288
2026-06-27T11:31:41.673000+00:00,11310,53.0,32.4,944.1,1.0,26.9,16,0,1288
2026-06-27T11:32:41.675000+00:00,11310,53.0,32.1,944.1,1.0,26.9,16,0,1288
2026-06-27T11:33:41.676000+00:00,11310,52.9,32.2,944.1,1.1,26.8,91,0,1288
2026-06-27T11:34:41.686000+00:00,11310,52.9,32.3,944.1,1.9,26.9,57,0,1288
2026-06-27T11:35:41.669000+00:00,11310,52.9,32.0,944.1,1.9,26.9,57,0,1288
