date,session_key,position,driver_number,meeting_key
2026-09-04T10:30:16.391000+00:00,11354,10,22,1293
2026-09-04T10:30:16.391000+00:00,11354,11,27,1293
2026-09-04T10:30:16.391000+00:00,11354,12,30,1293
2026-09-04T10:30:16.391000+00:00,11354,3,31,1293
2026-09-04T10:30:31.875000+00:00,11354,5,1,1293
2026-09-04T10:30:31.875000+00:00,11354,6,5,1293
2026-09-04T10:30:31.875000+00:00,11354,7,12,1293
2026-09-04T10:30:31.875000+00:00,11354,4,14,1293
2026-09-04T10:30:33.333000+00:00,11354,6,1,1293
2026-09-04T10:30:33.333000+00:00,11354,7,5,1293
2026-09-04T10:30:33.333000+00:00,11354,8,12,1293
2026-09-04T10:30:33.333000+00:00,11354,9,16,1293
2026-09-04T10:30:33.333000+00:00,11354,10,18,1293
2026-09-04T10:30:33.333000+00:00,11354,11,22,1293
2026-09-04T10:30:33.333000+00:00,11354,12,27,1293
2026-09-04T10:30:33.333000+00:00,11354,13,30,1293
2026-09-04T10:30:33.333000+00:00,11354,14,41,1293
2026-09-04T10:30:33.333000+00:00,11354,15,43,1293
2026-09-04T10:30:33.333000+00:00,11354,16,44,1293
2026-09-04T10:30:33.333000+00:00,11354,17,46,1293
2026-09-04T10:30:33.333000+00:00,11354,18,55,1293
2026-09-04T10:30:33.333000+00:00,11354,19,61,1293
2026-09-04T10:30:33.333000+00:00,11354,20,63,1293
2026-09-04T10:30:33.333000+00:00,11354,21,77,1293
2026-09-04T10:30:33.333000+00:00,11354,22,81,1293
2026-09-04T10:30:33.333000+00:00,11354,5,87,1293
2026-09-04T10:30:39.541000+00:00,11354,7,1,1293
2026-09-04T10:30:39.541000+00:00,11354,8,5,1293
2026-09-04T10:30:39.541000+00:00,11354,9,12,1293
2026-09-04T10:30:39.541000+00:00,11354,10,16,1293
2026-09-04T10:30:39.541000+00:00,11354,11,18,1293
2026-09-04T10:30:39.541000+00:00,11354,12,22,1293
2026-09-04T10:30:39.541000+00:00,11354,13,27,1293
2026-09-04T10:30:39.541000+00:00,11354,14,30,1293
2026-09-04T10:30:39.541000+00:00,11354,6,41,1293
2026-09-04T10:30:42.021000+00:00,11354,8,1,1293
2026-09-04T10:30:42.021000+00:00,11354,9,5,1293
2026-09-04T10:30:42.021000+00:00,11354,7,12,1293
2026-09-04T10:30:44.432000+00:00,11354,9,1,1293
2026-09-04T10:30:44.432000+00:00,11354,10,5,1293
2026-09-04T10:30:44.432000+00:00,11354,11,16,1293
2026-09-04T10:30:44.432000+00:00,11354,12,18,1293
2026-09-04T10:30:44.432000+00:00,11354,13,22,1293
