path,size_bytes,category,recommended_action,reason,path_length
CURRENT_CANONICAL_FILES_SEASON_ARCHIVE_EXPANDED_2026-06-10.md,468,active_or_unknown,keep,Not classified as generated junk or obvious legacy installer artifact.,115
CURRENT_CANONICAL_FILES_SEASON_ARCHIVE_PUBLISHER_2026-06-10.md,686,active_or_unknown,keep,Not classified as generated junk or obvious legacy installer artifact.,116
ELITE_V2_ARTIFACT_DOWNLOAD_401_HOTFIX_MANIFEST.csv,319,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,104
ELITE_V2_NODE24_PAYLOAD_MANIFEST.csv,1037,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,90
F1_1A_CUMULATIVE_VALIDATION_HOTFIX_INSTALL_REPORT_2026-06-11.md,632,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,117
F1_FORECAST_BUNDLE_LOCKER_NO_SOURCE_COMMIT_GUARD_INSTALL_REPORT_2026-06-11.md,540,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,131
F1_FORECAST_GATE_ORCHESTRATOR_V1_INSTALL_REPORT.md,713,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,104
F1_Peak_Elite_System_Installer_v1/INSTALL_F1_PEAK_ELITE_SYSTEM.cmd,279,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,120
F1_Peak_Elite_System_Installer_v1/PATCH_MANIFEST.csv,3273,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,106
F1_Peak_Elite_System_Installer_v1/PATCH_MANIFEST.json,5292,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,107
F1_Peak_Elite_System_Installer_v1/README_PEAK_ELITE_INSTALLER.md,2249,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,118
F1_Peak_Elite_System_Installer_v1/VALIDATION_REPORT.md,1796,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,108
F1_Peak_Elite_System_Installer_v1/installer/Install-F1-Peak-Elite-System.ps1,6517,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,130
F1_Peak_Elite_System_Installer_v1/payload/.github/workflows/f1-autorepair-run-now-button-v1.yml,3463,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,149
F1_Peak_Elite_System_Installer_v1/payload/.github/workflows/f1-autorepair-scheduled-session-workbook-recovery-v1.yml,2664,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,170
F1_Peak_Elite_System_Installer_v1/payload/.github/workflows/f1-black-box-temporal-validation-harness-v1.yml,2048,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,161
F1_Peak_Elite_System_Installer_v1/payload/.github/workflows/f1-experimental-challenger-v2-1-calibrated-stack.yml,2043,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,166
F1_Peak_Elite_System_Installer_v1/payload/.github/workflows/f1-forecast-bundle-locker-v1.yml,3571,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,146
F1_Peak_Elite_System_Installer_v1/payload/.github/workflows/f1-forecast-chain-readiness-validator-v1.yml,3364,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,158
F1_Peak_Elite_System_Installer_v1/payload/.github/workflows/f1-forecast-fantasy-readiness-dashboard-run-now.yml,1860,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,165
F1_Peak_Elite_System_Installer_v1/payload/.github/workflows/f1-forecast-fantasy-readiness-dashboard-scheduled.yml,1943,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,167
F1_Peak_Elite_System_Installer_v1/payload/.github/workflows/f1-forecast-gate-source-writer-v1.yml,3078,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,151
F1_Peak_Elite_System_Installer_v1/payload/.github/workflows/f1-openf1-lightweight-source-closure.yml,2242,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,154
F1_Peak_Elite_System_Installer_v1/payload/.github/workflows/f1-peak-elite-control-room-one-click-v1.yml,4460,legacy_installer_or_patch_artifact,recommend_archive_only,Likely legacy installer/patch artifact; do not delete automatically.,157
