date,session_key,lap_number,driver_number,stop_duration,lane_duration,pit_duration,meeting_key,source_closure_retrieved_utc
2026-06-07T14:21:26.073000+00:00,11299,60,44,,31.2,31.2,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:21:34.338000+00:00,11299,58,14,,26.3,26.3,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:21:34.463000+00:00,11299,60,16,,34.9,34.9,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:22:10.057000+00:00,11299,58,5,,20.3,20.3,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:22:39.778000+00:00,11299,61,12,,26.8,26.8,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:22:46.086000+00:00,11299,60,6,,19.6,19.6,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:22:50.085000+00:00,11299,60,63,,35.2,35.2,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:22:51.100000+00:00,11299,59,41,,20.2,20.2,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:22:52.596000+00:00,11299,59,23,,19.7,19.7,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:22:54.064000+00:00,11299,59,55,,19.8,19.8,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:23:09.338000+00:00,11299,59,31,,19.9,19.9,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:23:11.197000+00:00,11299,59,27,,19.9,19.9,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:23:14.713000+00:00,11299,59,43,,21.9,21.9,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:23:15.900000+00:00,11299,60,10,,19.8,19.8,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:23:20.338000+00:00,11299,60,81,,20.1,20.1,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:23:26.682000+00:00,11299,61,44,,24.2,24.2,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:23:27.510000+00:00,11299,59,14,,20.2,20.2,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:23:29.885000+00:00,11299,61,16,,20.0,20.0,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:23:41.002000+00:00,11299,60,30,,19.9,19.9,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:23:51.502000+00:00,11299,59,11,,26.0,26.0,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:24:06.813000+00:00,11299,59,5,,24.8,24.8,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:32:43.844000+00:00,11299,66,12,,20.7,20.7,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:32:47.250000+00:00,11299,66,44,,22.5,22.5,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:32:48.418000+00:00,11299,66,6,,22.3,22.3,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:32:50.457000+00:00,11299,66,63,,22.5,22.5,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:32:52.040000+00:00,11299,65,41,,22.7,22.7,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:32:53.440000+00:00,11299,65,23,,22.7,22.7,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:32:54.289000+00:00,11299,65,55,,22.1,22.1,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:32:55.584000+00:00,11299,65,31,,21.4,21.4,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:32:57.280000+00:00,11299,65,27,,22.3,22.3,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:33:01.288000+00:00,11299,66,10,,23.3,23.3,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:33:02.693000+00:00,11299,65,43,,23.3,23.3,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:33:03.979000+00:00,11299,66,81,,23.4,23.4,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:33:05.205000+00:00,11299,65,14,,24.0,24.0,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:33:06.706000+00:00,11299,65,11,,23.8,23.8,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:33:07.685000+00:00,11299,65,5,,22.7,22.7,1286,2026-09-06T22:35:01.578206Z
2026-06-07T14:33:11.784000+00:00,11299,66,30,,20.3,20.3,1286,2026-09-06T22:35:01.578206Z
2026-06-07T15:10:07.188000+00:00,11299,67,41,,2023.0,2023.0,1286,2026-09-06T22:35:01.578206Z
2026-06-07T15:10:09.758000+00:00,11299,67,23,,2024.1,2024.1,1286,2026-09-06T22:35:01.578206Z
2026-06-07T15:10:12.693000+00:00,11299,67,55,,2025.7,2025.7,1286,2026-09-06T22:35:01.578206Z
2026-06-07T15:10:14.530000+00:00,11299,67,31,,2025.9,2025.9,1286,2026-09-06T22:35:01.578206Z
2026-06-07T15:10:17.140000+00:00,11299,67,27,,2027.0,2027.0,1286,2026-09-06T22:35:01.578206Z
2026-06-07T15:10:18.492000+00:00,11299,67,43,,2025.8,2025.8,1286,2026-09-06T22:35:01.578206Z
2026-06-07T15:10:21.680000+00:00,11299,67,14,,2024.7,2024.7,1286,2026-09-06T22:35:01.578206Z
2026-06-07T15:10:25.367000+00:00,11299,67,11,,2026.8,2026.8,1286,2026-09-06T22:35:01.578206Z
