date,session_key,gap_to_leader,interval,meeting_key,driver_number
2026-07-19T13:04:43.643000+00:00,11334,2.035,1.051,1290,81
2026-07-19T13:04:43.784000+00:00,11334,6.246,0.306,1290,14
2026-07-19T13:04:43.987000+00:00,11334,6.454,0.208,1290,18
2026-07-19T13:04:44.331000+00:00,11334,2.716,0.681,1290,44
2026-07-19T13:04:44.925000+00:00,11334,3.312,0.596,1290,30
2026-07-19T13:04:44.987000+00:00,11334,3.368,0.056,1290,41
2026-07-19T13:04:45.331000+00:00,11334,3.724,0.356,1290,43
2026-07-19T13:04:45.534000+00:00,11334,3.92,,1290,5
2026-07-19T13:04:45.550000+00:00,11334,3.919,0.195,1290,1
2026-07-19T13:04:45.887000+00:00,11334,4.277,0.357,1290,10
2026-07-19T13:04:46.116000+00:00,11334,4.489,0.212,1290,87
2026-07-19T13:04:46.440000+00:00,11334,4.815,0.326,1290,23
2026-07-19T13:04:46.608000+00:00,11334,0.702,0.702,1290,16
2026-07-19T13:04:46.662000+00:00,11334,5.036,0.221,1290,31
2026-07-19T13:04:46.748000+00:00,11334,5.139,0.103,1290,27
2026-07-19T13:04:46.979000+00:00,11334,1.074,0.372,1290,3
2026-07-19T13:04:47.005000+00:00,11334,5.393,0.254,1290,55
2026-07-19T13:04:47.252000+00:00,11334,5.642,0.249,1290,6
2026-07-19T13:04:47.873000+00:00,11334,6.246,0.604,1290,11
2026-07-19T13:04:48.022000+00:00,11334,2.113,1.039,1290,81
2026-07-19T13:04:48.199000+00:00,11334,6.523,0.277,1290,77
2026-07-19T13:04:48.417000+00:00,11334,6.789,0.266,1290,14
2026-07-19T13:04:48.757000+00:00,11334,2.861,0.748,1290,44
2026-07-19T13:04:48.814000+00:00,11334,7.189,0.4,1290,18
2026-07-19T13:04:49.343000+00:00,11334,3.426,0.565,1290,30
2026-07-19T13:04:49.655000+00:00,11334,3.752,0.326,1290,41
2026-07-19T13:04:49.950000+00:00,11334,4.025,0.273,1290,43
2026-07-19T13:04:49.961000+00:00,11334,4.048,0.023,1290,5
2026-07-19T13:04:50.187000+00:00,11334,4.284,0.236,1290,1
2026-07-19T13:04:50.439000+00:00,11334,4.494,0.21,1290,10
2026-07-19T13:04:50.617000+00:00,11334,0.708,0.708,1290,16
2026-07-19T13:04:50.706000+00:00,11334,4.77,0.276,1290,87
2026-07-19T13:04:50.947000+00:00,11334,5.02,0.25,1290,23
2026-07-19T13:04:51.030000+00:00,11334,1.108,0.4,1290,3
2026-07-19T13:04:51.205000+00:00,11334,5.3,0.28,1290,27
2026-07-19T13:04:51.246000+00:00,11334,5.333,0.033,1290,31
2026-07-19T13:04:51.683000+00:00,11334,5.77,0.437,1290,55
2026-07-19T13:04:51.957000+00:00,11334,6.061,0.291,1290,6
2026-07-19T13:04:52.203000+00:00,11334,2.307,1.199,1290,81
2026-07-19T13:04:52.392000+00:00,11334,6.478,0.417,1290,11
2026-07-19T13:04:52.637000+00:00,11334,6.74,0.262,1290,77
2026-07-19T13:04:52.973000+00:00,11334,3.094,0.787,1290,44
2026-07-19T13:04:53.078000+00:00,11334,7.176,0.436,1290,14
2026-07-19T13:04:53.443000+00:00,11334,7.544,0.368,1290,18
