lane,meeting_key,session_key,session_name,session_type,applicable,rows,status
position,1281,11248,Practice 3,Practice,True,0,zero_rows
stints,1281,11248,Practice 3,Practice,True,0,zero_rows
pit,1281,11248,Practice 3,Practice,False,0,skipped_not_applicable
starting_grid,1281,11248,Practice 3,Practice,True,0,zero_rows
drivers,1281,11248,Practice 3,Practice,True,22,pass
team_radio,1281,11248,Practice 3,Practice,True,0,zero_rows
weather,1281,11249,Qualifying,Qualifying,True,75,pass
race_control,1281,11249,Qualifying,Qualifying,True,26,pass
intervals,1281,11249,Qualifying,Qualifying,True,0,zero_rows
position,1281,11249,Qualifying,Qualifying,True,950,pass
stints,1281,11249,Qualifying,Qualifying,True,98,pass
pit,1281,11249,Qualifying,Qualifying,False,0,skipped_not_applicable
starting_grid,1281,11249,Qualifying,Qualifying,True,22,pass
drivers,1281,11249,Qualifying,Qualifying,True,22,pass
team_radio,1281,11249,Qualifying,Qualifying,True,0,zero_rows
weather,1281,11253,Race,Race,True,156,pass
race_control,1281,11253,Race,Race,True,49,pass
intervals,1281,11253,Race,Race,True,28324,pass
position,1281,11253,Race,Race,True,445,pass
stints,1281,11253,Race,Race,True,51,pass
pit,1281,11253,Race,Race,True,29,pass
starting_grid,1281,11253,Race,Race,True,0,zero_rows
drivers,1281,11253,Race,Race,True,22,pass
team_radio,1281,11253,Race,Race,True,0,zero_rows
weather,1282,11254,Practice 1,Practice,True,0,zero_rows
race_control,1282,11254,Practice 1,Practice,True,0,zero_rows
intervals,1282,11254,Practice 1,Practice,True,0,zero_rows
position,1282,11254,Practice 1,Practice,True,0,zero_rows
stints,1282,11254,Practice 1,Practice,True,0,zero_rows
pit,1282,11254,Practice 1,Practice,False,0,skipped_not_applicable
starting_grid,1282,11254,Practice 1,Practice,True,0,zero_rows
drivers,1282,11254,Practice 1,Practice,True,22,pass
team_radio,1282,11254,Practice 1,Practice,True,0,zero_rows
weather,1282,11255,Practice 2,Practice,True,0,zero_rows
race_control,1282,11255,Practice 2,Practice,True,0,zero_rows
intervals,1282,11255,Practice 2,Practice,True,0,zero_rows
position,1282,11255,Practice 2,Practice,True,0,zero_rows
stints,1282,11255,Practice 2,Practice,True,0,zero_rows
pit,1282,11255,Practice 2,Practice,False,0,skipped_not_applicable
starting_grid,1282,11255,Practice 2,Practice,True,0,zero_rows
drivers,1282,11255,Practice 2,Practice,True,0,zero_rows
team_radio,1282,11255,Practice 2,Practice,True,0,zero_rows
weather,1282,11256,Practice 3,Practice,True,0,zero_rows
race_control,1282,11256,Practice 3,Practice,True,0,zero_rows
intervals,1282,11256,Practice 3,Practice,True,0,zero_rows
position,1282,11256,Practice 3,Practice,True,0,zero_rows
stints,1282,11256,Practice 3,Practice,True,0,zero_rows
pit,1282,11256,Practice 3,Practice,False,0,skipped_not_applicable
starting_grid,1282,11256,Practice 3,Practice,True,0,zero_rows
drivers,1282,11256,Practice 3,Practice,True,0,zero_rows
team_radio,1282,11256,Practice 3,Practice,True,0,zero_rows
weather,1282,11257,Qualifying,Qualifying,True,0,zero_rows
race_control,1282,11257,Qualifying,Qualifying,True,0,zero_rows
intervals,1282,11257,Qualifying,Qualifying,True,0,zero_rows
position,1282,11257,Qualifying,Qualifying,True,0,zero_rows
stints,1282,11257,Qualifying,Qualifying,True,0,zero_rows
pit,1282,11257,Qualifying,Qualifying,False,0,skipped_not_applicable
starting_grid,1282,11257,Qualifying,Qualifying,True,0,zero_rows
drivers,1282,11257,Qualifying,Qualifying,True,0,zero_rows
team_radio,1282,11257,Qualifying,Qualifying,True,0,zero_rows
weather,1282,11261,Race,Race,True,0,zero_rows
race_control,1282,11261,Race,Race,True,0,zero_rows
intervals,1282,11261,Race,Race,True,0,zero_rows
position,1282,11261,Race,Race,True,0,zero_rows
stints,1282,11261,Race,Race,True,0,zero_rows
pit,1282,11261,Race,Race,True,0,zero_rows
starting_grid,1282,11261,Race,Race,True,0,zero_rows
drivers,1282,11261,Race,Race,True,20,pass
team_radio,1282,11261,Race,Race,True,0,zero_rows
weather,1283,11262,Practice 1,Practice,True,0,zero_rows
race_control,1283,11262,Practice 1,Practice,True,0,zero_rows
intervals,1283,11262,Practice 1,Practice,True,0,zero_rows
position,1283,11262,Practice 1,Practice,True,0,zero_rows
stints,1283,11262,Practice 1,Practice,True,0,zero_rows
pit,1283,11262,Practice 1,Practice,False,0,skipped_not_applicable
starting_grid,1283,11262,Practice 1,Practice,True,0,zero_rows
drivers,1283,11262,Practice 1,Practice,True,0,zero_rows
team_radio,1283,11262,Practice 1,Practice,True,0,zero_rows
weather,1283,11263,Practice 2,Practice,True,0,zero_rows
race_control,1283,11263,Practice 2,Practice,True,0,zero_rows
intervals,1283,11263,Practice 2,Practice,True,0,zero_rows
position,1283,11263,Practice 2,Practice,True,0,zero_rows
stints,1283,11263,Practice 2,Practice,True,0,zero_rows
pit,1283,11263,Practice 2,Practice,False,0,skipped_not_applicable
starting_grid,1283,11263,Practice 2,Practice,True,0,zero_rows
drivers,1283,11263,Practice 2,Practice,True,0,zero_rows
team_radio,1283,11263,Practice 2,Practice,True,0,zero_rows
weather,1283,11264,Practice 3,Practice,True,0,zero_rows
race_control,1283,11264,Practice 3,Practice,True,0,zero_rows
intervals,1283,11264,Practice 3,Practice,True,0,zero_rows
position,1283,11264,Practice 3,Practice,True,0,zero_rows
stints,1283,11264,Practice 3,Practice,True,0,zero_rows
pit,1283,11264,Practice 3,Practice,False,0,skipped_not_applicable
starting_grid,1283,11264,Practice 3,Practice,True,0,zero_rows
drivers,1283,11264,Practice 3,Practice,True,0,zero_rows
team_radio,1283,11264,Practice 3,Practice,True,0,zero_rows
weather,1283,11265,Qualifying,Qualifying,True,0,zero_rows
race_control,1283,11265,Qualifying,Qualifying,True,0,zero_rows
intervals,1283,11265,Qualifying,Qualifying,True,0,zero_rows
position,1283,11265,Qualifying,Qualifying,True,0,zero_rows
stints,1283,11265,Qualifying,Qualifying,True,0,zero_rows
pit,1283,11265,Qualifying,Qualifying,False,0,skipped_not_applicable
starting_grid,1283,11265,Qualifying,Qualifying,True,0,zero_rows
drivers,1283,11265,Qualifying,Qualifying,True,10,pass
team_radio,1283,11265,Qualifying,Qualifying,True,0,zero_rows
weather,1283,11269,Race,Race,True,0,zero_rows
race_control,1283,11269,Race,Race,True,0,zero_rows
intervals,1283,11269,Race,Race,True,0,zero_rows
position,1283,11269,Race,Race,True,0,zero_rows
stints,1283,11269,Race,Race,True,0,zero_rows
pit,1283,11269,Race,Race,True,0,zero_rows
starting_grid,1283,11269,Race,Race,True,0,zero_rows
drivers,1283,11269,Race,Race,True,22,pass
team_radio,1283,11269,Race,Race,True,0,zero_rows
weather,1284,11270,Practice 1,Practice,True,101,pass
race_control,1284,11270,Practice 1,Practice,True,56,pass
intervals,1284,11270,Practice 1,Practice,True,0,zero_rows
position,1284,11270,Practice 1,Practice,True,670,pass
stints,1284,11270,Practice 1,Practice,True,110,pass
pit,1284,11270,Practice 1,Practice,False,0,skipped_not_applicable
starting_grid,1284,11270,Practice 1,Practice,True,0,zero_rows
drivers,1284,11270,Practice 1,Practice,True,0,zero_rows
team_radio,1284,11270,Practice 1,Practice,True,0,zero_rows
weather,1284,11271,Sprint Qualifying,Qualifying,True,0,zero_rows
race_control,1284,11271,Sprint Qualifying,Qualifying,True,0,zero_rows
intervals,1284,11271,Sprint Qualifying,Qualifying,True,0,zero_rows
position,1284,11271,Sprint Qualifying,Qualifying,True,0,zero_rows
stints,1284,11271,Sprint Qualifying,Qualifying,True,0,zero_rows
pit,1284,11271,Sprint Qualifying,Qualifying,True,0,zero_rows
starting_grid,1284,11271,Sprint Qualifying,Qualifying,True,0,zero_rows
drivers,1284,11271,Sprint Qualifying,Qualifying,True,0,zero_rows
team_radio,1284,11271,Sprint Qualifying,Qualifying,True,0,zero_rows
weather,1284,11275,Sprint,Race,True,0,zero_rows
race_control,1284,11275,Sprint,Race,True,0,zero_rows
intervals,1284,11275,Sprint,Race,True,0,zero_rows
position,1284,11275,Sprint,Race,True,0,zero_rows
stints,1284,11275,Sprint,Race,True,0,zero_rows
pit,1284,11275,Sprint,Race,True,0,zero_rows
starting_grid,1284,11275,Sprint,Race,True,0,zero_rows
drivers,1284,11275,Sprint,Race,True,0,zero_rows
team_radio,1284,11275,Sprint,Race,True,0,zero_rows
weather,1284,11276,Qualifying,Qualifying,True,0,zero_rows
race_control,1284,11276,Qualifying,Qualifying,True,0,zero_rows
intervals,1284,11276,Qualifying,Qualifying,True,0,zero_rows
position,1284,11276,Qualifying,Qualifying,True,0,zero_rows
stints,1284,11276,Qualifying,Qualifying,True,0,zero_rows
pit,1284,11276,Qualifying,Qualifying,False,0,skipped_not_applicable
starting_grid,1284,11276,Qualifying,Qualifying,True,0,zero_rows
drivers,1284,11276,Qualifying,Qualifying,True,12,pass
team_radio,1284,11276,Qualifying,Qualifying,True,0,zero_rows
weather,1284,11280,Race,Race,True,168,pass
race_control,1284,11280,Race,Race,True,178,pass
