date,session_key,meeting_key,driver_number,gap_to_leader,interval
2026-06-28T13:03:52.544000+00:00,11315,1288,11,4.451,0.134
2026-06-28T13:03:52.797000+00:00,11315,1288,23,4.723,0.272
2026-06-28T13:03:53.119000+00:00,11315,1288,14,5.018,0.295
2026-06-28T13:03:53.182000+00:00,11315,1288,77,5.093,0.075
2026-06-28T13:03:53.188000+00:00,11315,1288,16,0.475,0.475
2026-06-28T13:03:53.348000+00:00,11315,1288,44,0.621,0.146
2026-06-28T13:03:53.684000+00:00,11315,1288,43,5.621,0.528
2026-06-28T13:03:53.922000+00:00,11315,1288,12,1.224,0.603
2026-06-28T13:03:54.190000+00:00,11315,1288,3,1.484,0.26
2026-06-28T13:03:54.222000+00:00,11315,1288,18,6.155,0.534
2026-06-28T13:03:54.567000+00:00,11315,1288,81,1.85,0.366
2026-06-28T13:03:54.584000+00:00,11315,1288,1,1.865,0.015
2026-06-28T13:03:54.638000+00:00,11315,1288,30,1.914,0.049
2026-06-28T13:03:55.143000+00:00,11315,1288,6,2.424,0.51
2026-06-28T13:03:55.356000+00:00,11315,1288,16,0.474,0.474
2026-06-28T13:03:55.426000+00:00,11315,1288,41,2.698,0.274
2026-06-28T13:03:55.455000+00:00,11315,1288,44,0.529,0.055
2026-06-28T13:03:55.775000+00:00,11315,1288,5,3.06,0.362
2026-06-28T13:03:55.947000+00:00,11315,1288,12,1.044,0.515
2026-06-28T13:03:56.092000+00:00,11315,1288,10,3.36,0.3
2026-06-28T13:03:56.111000+00:00,11315,1288,31,3.398,0.038
2026-06-28T13:03:56.318000+00:00,11315,1288,3,1.407,0.363
2026-06-28T13:03:56.383000+00:00,11315,1288,27,3.659,0.261
2026-06-28T13:03:56.411000+00:00,11315,1288,87,3.704,0.045
2026-06-28T13:03:56.595000+00:00,11315,1288,81,1.662,0.255
2026-06-28T13:03:56.681000+00:00,11315,1288,1,1.771,0.109
2026-06-28T13:03:56.700000+00:00,11315,1288,30,1.79,0.019
2026-06-28T13:03:57.084000+00:00,11315,1288,55,4.341,0.637
2026-06-28T13:03:57.157000+00:00,11315,1288,11,4.441,0.1
2026-06-28T13:03:57.264000+00:00,11315,1288,6,2.339,0.549
2026-06-28T13:03:57.427000+00:00,11315,1288,23,4.715,0.274
2026-06-28T13:03:57.499000+00:00,11315,1288,41,2.59,0.251
2026-06-28T13:03:57.779000+00:00,11315,1288,5,2.868,0.278
2026-06-28T13:03:57.800000+00:00,11315,1288,77,5.081,0.366
2026-06-28T13:03:57.819000+00:00,11315,1288,14,5.089,0.008
2026-06-28T13:03:58.258000+00:00,11315,1288,10,3.32,
2026-06-28T13:03:58.268000+00:00,11315,1288,31,3.319,0.451
2026-06-28T13:03:58.318000+00:00,11315,1288,43,5.593,0.504
2026-06-28T13:03:58.414000+00:00,11315,1288,27,3.476,0.156
2026-06-28T13:03:58.453000+00:00,11315,1288,87,3.52,0.044
2026-06-28T13:03:59.077000+00:00,11315,1288,18,6.341,0.748
2026-06-28T13:03:59.133000+00:00,11315,1288,55,4.215,0.695
2026-06-28T13:03:59.238000+00:00,11315,1288,11,4.334,0.119
2026-06-28T13:03:59.516000+00:00,11315,1288,23,4.6,0.266
2026-06-28T13:03:59.908000+00:00,11315,1288,77,5.012,0.412
2026-06-28T13:03:59.937000+00:00,11315,1288,14,5.019,0.007
2026-06-28T13:04:00.422000+00:00,11315,1288,43,5.512,0.493
2026-06-28T13:04:01.233000+00:00,11315,1288,18,6.333,0.821
2026-06-28T13:04:03.085000+00:00,11315,1288,44,0.389,0.389
2026-06-28T13:04:03.144000+00:00,11315,1288,16,0.496,0.107
2026-06-28T13:04:03.817000+00:00,11315,1288,12,1.167,0.671
2026-06-28T13:04:04.180000+00:00,11315,1288,3,1.541,0.374
2026-06-28T13:04:04.393000+00:00,11315,1288,81,1.709,0.168
2026-06-28T13:04:04.596000+00:00,11315,1288,1,1.95,0.241
2026-06-28T13:04:05.097000+00:00,11315,1288,30,2.455,0.505
2026-06-28T13:04:05.323000+00:00,11315,1288,6,2.67,0.215
2026-06-28T13:04:05.562000+00:00,11315,1288,41,2.896,0.226
2026-06-28T13:04:05.907000+00:00,11315,1288,5,3.229,0.333
2026-06-28T13:04:06.139000+00:00,11315,1288,31,3.482,0.253
2026-06-28T13:04:06.418000+00:00,11315,1288,10,3.78,0.298
2026-06-28T13:04:06.616000+00:00,11315,1288,27,3.962,0.182
2026-06-28T13:04:06.897000+00:00,11315,1288,87,4.232,0.27
2026-06-28T13:04:07.300000+00:00,11315,1288,55,4.652,0.42
2026-06-28T13:04:07.489000+00:00,11315,1288,44,0.435,0.435
2026-06-28T13:04:07.500000+00:00,11315,1288,16,0.466,0.031
2026-06-28T13:04:07.739000+00:00,11315,1288,23,5.076,0.424
2026-06-28T13:04:08.167000+00:00,11315,1288,11,5.475,0.399
2026-06-28T13:04:08.252000+00:00,11315,1288,77,5.58,0.105
2026-06-28T13:04:08.318000+00:00,11315,1288,14,5.657,0.077
2026-06-28T13:04:08.342000+00:00,11315,1288,12,1.307,0.841
2026-06-28T13:04:08.652000+00:00,11315,1288,3,1.59,0.283
2026-06-28T13:04:08.737000+00:00,11315,1288,81,1.675,0.085
2026-06-28T13:04:08.817000+00:00,11315,1288,43,6.15,
2026-06-28T13:04:08.936000+00:00,11315,1288,1,1.911,0.236
2026-06-28T13:04:09.431000+00:00,11315,1288,30,2.389,0.478
2026-06-28T13:04:09.491000+00:00,11315,1288,18,6.83,0.68
2026-06-28T13:04:09.649000+00:00,11315,1288,6,2.627,0.238
2026-06-28T13:04:09.907000+00:00,11315,1288,41,2.864,0.237
2026-06-28T13:04:10.276000+00:00,11315,1288,5,3.228,0.364
2026-06-28T13:04:10.584000+00:00,11315,1288,31,3.563,0.335
2026-06-28T13:04:10.851000+00:00,11315,1288,10,3.822,0.259
2026-06-28T13:04:11.113000+00:00,11315,1288,27,4.078,0.256
2026-06-28T13:04:11.417000+00:00,11315,1288,87,4.37,0.292
2026-06-28T13:04:11.829000+00:00,11315,1288,55,4.794,0.424
2026-06-28T13:04:12.231000+00:00,11315,1288,23,5.196,0.402
2026-06-28T13:04:12.636000+00:00,11315,1288,11,5.582,0.386
2026-06-28T13:04:12.756000+00:00,11315,1288,77,5.712,0.13
2026-06-28T13:04:12.927000+00:00,11315,1288,14,5.888,0.176
2026-06-28T13:04:13.150000+00:00,11315,1288,44,0.512,0.512
2026-06-28T13:04:13.232000+00:00,11315,1288,43,6.166,0.278
2026-06-28T13:04:13.410000+00:00,11315,1288,16,0.755,0.243
2026-06-28T13:04:14.085000+00:00,11315,1288,12,1.466,0.711
2026-06-28T13:04:14.120000+00:00,11315,1288,18,7.078,0.912
2026-06-28T13:04:14.407000+00:00,11315,1288,3,1.761,0.295
2026-06-28T13:04:14.820000+00:00,11315,1288,81,2.135,0.374
2026-06-28T13:04:15.024000+00:00,11315,1288,1,2.349,0.214
2026-06-28T13:04:15.411000+00:00,11315,1288,30,2.792,0.443
2026-06-28T13:04:15.748000+00:00,11315,1288,6,3.082,0.29
2026-06-28T13:04:16.036000+00:00,11315,1288,41,3.357,0.275
2026-06-28T13:04:16.233000+00:00,11315,1288,5,3.559,0.202
2026-06-28T13:04:16.656000+00:00,11315,1288,31,3.991,0.432
2026-06-28T13:04:17.008000+00:00,11315,1288,10,4.391,0.4
2026-06-28T13:04:17.267000+00:00,11315,1288,27,4.601,0.21
2026-06-28T13:04:17.458000+00:00,11315,1288,87,4.841,0.24
2026-06-28T13:04:17.548000+00:00,11315,1288,44,0.596,0.596
2026-06-28T13:04:17.870000+00:00,11315,1288,55,5.238,0.397
2026-06-28T13:04:18.134000+00:00,11315,1288,16,1.196,0.6
2026-06-28T13:04:18.387000+00:00,11315,1288,23,5.703,0.465
2026-06-28T13:04:18.599000+00:00,11315,1288,12,1.656,0.46
