date,session_key,position,driver_number,meeting_key
2026-06-28T13:29:23.321000+00:00,11315,6,81,1288
2026-06-28T13:29:23.998000+00:00,11315,8,1,1288
2026-06-28T13:29:23.998000+00:00,11315,7,6,1288
2026-06-28T13:29:31.815000+00:00,11315,4,44,1288
2026-06-28T13:29:31.815000+00:00,11315,3,3,1288
2026-06-28T13:29:35.045000+00:00,11315,9,41,1288
2026-06-28T13:29:35.045000+00:00,11315,10,27,1288
2026-06-28T13:29:35.714000+00:00,11315,10,30,1288
2026-06-28T13:29:35.714000+00:00,11315,11,27,1288
2026-06-28T13:29:38.018000+00:00,11315,11,5,1288
2026-06-28T13:29:38.018000+00:00,11315,12,27,1288
2026-06-28T13:29:38.773000+00:00,11315,3,44,1288
2026-06-28T13:29:38.773000+00:00,11315,4,3,1288
2026-06-28T13:29:42.642000+00:00,11315,12,87,1288
2026-06-28T13:29:42.642000+00:00,11315,13,27,1288
2026-06-28T13:29:45.341000+00:00,11315,13,10,1288
2026-06-28T13:29:45.341000+00:00,11315,14,27,1288
2026-06-28T13:29:56.584000+00:00,11315,4,44,1288
2026-06-28T13:29:56.584000+00:00,11315,3,3,1288
2026-06-28T13:30:03.048000+00:00,11315,15,27,1288
2026-06-28T13:30:03.048000+00:00,11315,14,55,1288
2026-06-28T13:30:17.242000+00:00,11315,16,31,1288
2026-06-28T13:30:17.242000+00:00,11315,17,14,1288
2026-06-28T13:31:05.368000+00:00,11315,19,43,1288
2026-06-28T13:31:05.368000+00:00,11315,20,18,1288
2026-06-28T13:31:16.822000+00:00,11315,17,23,1288
2026-06-28T13:31:16.822000+00:00,11315,18,14,1288
2026-06-28T13:31:57.633000+00:00,11315,12,10,1288
2026-06-28T13:31:57.633000+00:00,11315,13,87,1288
2026-06-28T13:32:18.712000+00:00,11315,18,43,1288
2026-06-28T13:32:18.712000+00:00,11315,19,14,1288
2026-06-28T13:32:21.583000+00:00,11315,14,27,1288
2026-06-28T13:32:21.583000+00:00,11315,15,55,1288
2026-06-28T13:32:28.501000+00:00,11315,15,31,1288
2026-06-28T13:32:28.501000+00:00,11315,16,55,1288
2026-06-28T13:32:32.418000+00:00,11315,17,55,1288
2026-06-28T13:32:32.418000+00:00,11315,16,23,1288
2026-06-28T13:32:34.625000+00:00,11315,17,43,1288
2026-06-28T13:32:34.625000+00:00,11315,18,55,1288
2026-06-28T13:32:34.651000+00:00,11315,18,43,1288
2026-06-28T13:32:34.651000+00:00,11315,17,55,1288
2026-06-28T13:32:34.654000+00:00,11315,17,43,1288
2026-06-28T13:32:34.654000+00:00,11315,18,55,1288
2026-06-28T13:32:34.666000+00:00,11315,19,55,1288
2026-06-28T13:32:34.666000+00:00,11315,18,14,1288
2026-06-28T13:32:38.111000+00:00,11315,20,55,1288
2026-06-28T13:32:38.111000+00:00,11315,19,18,1288
2026-06-28T13:32:42.684000+00:00,11315,1,63,1288
2026-06-28T13:32:42.684000+00:00,11315,2,12,1288
2026-06-28T13:32:46.446000+00:00,11315,3,12,1288
2026-06-28T13:32:46.446000+00:00,11315,2,3,1288
2026-06-28T13:32:49.889000+00:00,11315,3,44,1288
2026-06-28T13:32:49.889000+00:00,11315,4,12,1288
2026-06-28T13:32:54.013000+00:00,11315,4,16,1288
2026-06-28T13:32:54.013000+00:00,11315,5,12,1288
2026-06-28T13:34:01.982000+00:00,11315,14,87,1288
2026-06-28T13:34:01.982000+00:00,11315,13,27,1288
2026-06-28T13:34:32.488000+00:00,11315,3,16,1288
2026-06-28T13:34:32.488000+00:00,11315,4,44,1288
2026-06-28T13:34:34.808000+00:00,11315,5,44,1288
2026-06-28T13:34:34.808000+00:00,11315,4,12,1288
2026-06-28T13:34:38.537000+00:00,11315,6,44,1288
2026-06-28T13:34:38.537000+00:00,11315,5,81,1288
2026-06-28T13:34:48.355000+00:00,11315,7,44,1288
2026-06-28T13:34:48.355000+00:00,11315,6,6,1288
2026-06-28T13:40:06.797000+00:00,11315,4,16,1288
2026-06-28T13:40:06.797000+00:00,11315,3,12,1288
2026-06-28T13:40:23.628000+00:00,11315,6,44,1288
2026-06-28T13:40:23.628000+00:00,11315,7,6,1288
2026-06-28T13:41:09.691000+00:00,11315,16,43,1288
2026-06-28T13:41:09.691000+00:00,11315,17,23,1288
2026-06-28T13:45:24.991000+00:00,11315,16,31,1288
2026-06-28T13:45:24.991000+00:00,11315,15,43,1288
2026-06-28T13:45:31.113000+00:00,11315,17,31,1288
2026-06-28T13:45:31.113000+00:00,11315,16,23,1288
2026-06-28T13:48:26.931000+00:00,11315,5,16,1288
2026-06-28T13:48:26.931000+00:00,11315,4,81,1288
2026-06-28T13:48:31.572000+00:00,11315,6,16,1288
2026-06-28T13:48:31.572000+00:00,11315,5,44,1288
2026-06-28T13:48:33.687000+00:00,11315,5,16,1288
2026-06-28T13:48:33.687000+00:00,11315,6,44,1288
2026-06-28T13:48:46.018000+00:00,11315,6,16,1288
2026-06-28T13:48:46.018000+00:00,11315,5,44,1288
2026-06-28T13:49:18.741000+00:00,11315,7,16,1288
2026-06-28T13:49:18.741000+00:00,11315,6,6,1288
2026-06-28T13:49:24.058000+00:00,11315,8,16,1288
2026-06-28T13:49:24.058000+00:00,11315,7,1,1288
2026-06-28T13:50:20.677000+00:00,11315,19,14,1288
2026-06-28T13:50:20.677000+00:00,11315,18,18,1288
2026-06-28T13:50:41.974000+00:00,11315,16,31,1288
2026-06-28T13:50:41.974000+00:00,11315,17,23,1288
2026-06-28T13:51:16.084000+00:00,11315,13,10,1288
2026-06-28T13:51:16.084000+00:00,11315,12,27,1288
2026-06-28T13:51:29.547000+00:00,11315,14,10,1288
2026-06-28T13:51:29.547000+00:00,11315,13,87,1288
2026-06-28T13:52:56.803000+00:00,11315,6,1,1288
2026-06-28T13:52:56.803000+00:00,11315,7,6,1288
2026-06-28T13:53:14.418000+00:00,11315,7,16,1288
2026-06-28T13:53:14.418000+00:00,11315,8,6,1288
2026-06-28T13:55:24.082000+00:00,11315,6,44,1288
2026-06-28T13:55:24.082000+00:00,11315,4,1,1288
2026-06-28T13:55:24.082000+00:00,11315,5,81,1288
2026-06-28T13:55:36.360000+00:00,11315,6,16,1288
2026-06-28T13:55:36.360000+00:00,11315,7,44,1288
2026-06-28T13:55:42.159000+00:00,11315,5,16,1288
2026-06-28T13:55:42.159000+00:00,11315,6,81,1288
2026-06-28T13:56:11.809000+00:00,11315,2,63,1288
2026-06-28T13:56:11.809000+00:00,11315,1,3,1288
2026-06-28T13:56:20.672000+00:00,11315,3,63,1288
2026-06-28T13:56:20.672000+00:00,11315,2,12,1288
2026-06-28T13:56:42.654000+00:00,11315,13,10,1288
2026-06-28T13:56:42.654000+00:00,11315,14,87,1288
2026-06-28T13:58:37.434000+00:00,11315,12,5,1288
2026-06-28T13:58:37.434000+00:00,11315,11,27,1288
2026-06-28T13:59:54.754000+00:00,11315,18,14,1288
2026-06-28T13:59:54.754000+00:00,11315,19,18,1288
2026-06-28T14:00:01.984000+00:00,11315,11,5,1288
2026-06-28T14:00:01.984000+00:00,11315,12,27,1288
2026-06-28T14:00:04.228000+00:00,11315,12,10,1288
2026-06-28T14:00:04.228000+00:00,11315,13,27,1288
2026-06-28T14:00:17.594000+00:00,11315,15,87,1288
2026-06-28T14:00:17.594000+00:00,11315,14,43,1288
2026-06-28T14:01:17.771000+00:00,11315,9,30,1288
2026-06-28T14:01:17.771000+00:00,11315,10,41,1288
2026-06-28T14:01:33.420000+00:00,11315,4,16,1288
2026-06-28T14:01:33.420000+00:00,11315,5,1,1288
2026-06-28T14:01:33.710000+00:00,11315,6,1,1288
2026-06-28T14:01:33.710000+00:00,11315,5,81,1288
2026-06-28T14:01:36.515000+00:00,11315,6,44,1288
