date,session_key,driver_number,gap_to_leader,meeting_key,interval
2026-07-26T13:04:22.443000+00:00,11342,30,3.77,1291,0.343
2026-07-26T13:04:22.599000+00:00,11342,63,8.071,1291,0.241
2026-07-26T13:04:22.630000+00:00,11342,1,0.825,1291,0.825
2026-07-26T13:04:22.771000+00:00,11342,41,4.128,1291,0.358
2026-07-26T13:04:23.037000+00:00,11342,77,8.531,1291,0.46
2026-07-26T13:04:23.271000+00:00,11342,27,4.619,1291,0.491
2026-07-26T13:04:23.615000+00:00,11342,11,9.082,1291,0.551
2026-07-26T13:04:23.693000+00:00,11342,3,1.803,1291,0.978
2026-07-26T13:04:23.725000+00:00,11342,10,5.058,1291,0.439
2026-07-26T13:04:24.068000+00:00,11342,31,5.391,1291,0.333
2026-07-26T13:04:24.130000+00:00,11342,44,2.263,1291,0.46
2026-07-26T13:04:24.271000+00:00,11342,1,0.832,1291,0.832
2026-07-26T13:04:24.287000+00:00,11342,5,5.637,1291,0.246
2026-07-26T13:04:24.475000+00:00,11342,16,2.642,1291,0.379
2026-07-26T13:04:24.974000+00:00,11342,1,0.826,1291,0.826
2026-07-26T13:04:24.974000+00:00,11342,43,6.301,1291,0.664
2026-07-26T13:04:25.099000+00:00,11342,12,3.201,1291,0.559
2026-07-26T13:04:25.193000+00:00,11342,14,6.537,1291,0.236
2026-07-26T13:04:25.208000+00:00,11342,3,1.776,1291,0.944
2026-07-26T13:04:25.349000+00:00,11342,6,3.473,1291,0.272
2026-07-26T13:04:25.537000+00:00,11342,87,6.884,1291,0.347
2026-07-26T13:04:25.693000+00:00,11342,44,2.255,1291,0.479
2026-07-26T13:04:25.756000+00:00,11342,30,3.881,1291,0.408
2026-07-26T13:04:25.958000+00:00,11342,3,1.753,1291,0.927
2026-07-26T13:04:26.052000+00:00,11342,55,7.406,1291,0.522
2026-07-26T13:04:26.099000+00:00,11342,41,4.22,1291,0.339
2026-07-26T13:04:26.099000+00:00,11342,16,2.664,1291,0.409
2026-07-26T13:04:26.474000+00:00,11342,44,2.244,1291,0.491
2026-07-26T13:04:26.474000+00:00,11342,23,7.789,1291,0.383
2026-07-26T13:04:26.583000+00:00,11342,27,4.695,1291,0.475
2026-07-26T13:04:26.708000+00:00,11342,12,3.28,1291,0.616
2026-07-26T13:04:26.849000+00:00,11342,18,8.154,1291,0.365
2026-07-26T13:04:26.943000+00:00,11342,16,2.663,1291,0.419
2026-07-26T13:04:27.021000+00:00,11342,6,3.545,1291,0.265
2026-07-26T13:04:27.146000+00:00,11342,10,5.231,1291,0.536
2026-07-26T13:04:27.209000+00:00,11342,63,8.505,1291,0.351
2026-07-26T13:04:27.396000+00:00,11342,30,3.931,1291,0.386
