date,session_key,pit_duration,meeting_key,lap_number,driver_number,lane_duration,stop_duration
2026-09-04T11:01:50.497000+00:00,11354,26.9,1293,12,63,26.9,
2026-09-04T11:02:40.300000+00:00,11354,822.2,1293,11,77,822.2,
2026-09-04T11:03:27.128000+00:00,11354,216.2,1293,13,87,216.2,
2026-09-04T11:05:16.884000+00:00,11354,268.9,1293,11,12,268.9,
2026-09-04T11:06:09.010000+00:00,11354,21.5,1293,16,16,21.5,
2026-09-04T11:06:17.544000+00:00,11354,28.5,1293,14,81,28.5,
2026-09-04T11:07:08.306000+00:00,11354,44.8,1293,14,27,44.8,
2026-09-04T11:07:24.709000+00:00,11354,160.7,1293,13,31,160.7,
2026-09-04T11:07:41.725000+00:00,11354,45.6,1293,15,30,45.6,
2026-09-04T11:08:36.889000+00:00,11354,83.1,1293,11,55,83.1,
2026-09-04T11:09:40.900000+00:00,11354,32.2,1293,15,44,32.2,
2026-09-04T11:11:30.135000+00:00,11354,310.6,1293,14,46,310.6,
2026-09-04T11:11:51.584000+00:00,11354,284.2,1293,15,63,284.2,
2026-09-04T11:11:53.787000+00:00,11354,65.7,1293,17,87,65.7,
2026-09-04T11:12:28.222000+00:00,11354,208.0,1293,13,61,208.0,
2026-09-04T11:13:49.320000+00:00,11354,336.3,1293,17,16,336.3,
2026-09-04T11:14:39.758000+00:00,11354,20.5,1293,17,31,20.5,
2026-09-04T11:15:00.492000+00:00,11354,345.4,1293,18,41,345.4,
2026-09-04T11:15:26.022000+00:00,11354,482.0,1293,15,1,482.0,
2026-09-04T11:16:08.648000+00:00,11354,418.3,1293,16,43,418.3,
2026-09-04T11:17:41.526000+00:00,11354,351.0,1293,16,36,351.0,
2026-09-04T11:18:22.622000+00:00,11354,234.5,1293,18,77,234.5,
2026-09-04T11:18:27.340000+00:00,11354,422.7,1293,17,81,422.7,
2026-09-04T11:18:28.268000+00:00,11354,31.0,1293,16,61,31.0,
2026-09-04T11:18:58.061000+00:00,11354,306.2,1293,18,27,306.2,
2026-09-04T11:19:04.475000+00:00,11354,835.0,1293,12,5,835.0,
2026-09-04T11:19:04.547000+00:00,11354,321.3,1293,19,22,321.3,
2026-09-04T11:19:10.068000+00:00,11354,687.6,1293,13,14,687.6,
2026-09-04T11:19:41.643000+00:00,11354,185.2,1293,20,87,185.2,
2026-09-04T11:22:26.424000+00:00,11354,155.5,1293,20,31,155.5,
2026-09-04T11:22:28.596000+00:00,11354,665.8,1293,17,18,665.8,
2026-09-04T11:22:56.125000+00:00,11354,27.6,1293,19,55,27.6,
2026-09-04T11:23:24.438000+00:00,11354,305.1,1293,20,44,305.1,
2026-09-04T11:24:51.911000+00:00,11354,18.9,1293,16,14,18.9,
2026-09-04T11:24:56.255000+00:00,11354,30.3,1293,19,61,30.3,
2026-09-04T11:24:57.380000+00:00,11354,418.7,1293,21,30,418.7,
2026-09-04T11:26:15.771000+00:00,11354,25.3,1293,25,41,25.3,
2026-09-04T11:27:47.694000+00:00,11354,26.4,1293,24,22,26.4,
2026-09-04T11:29:16.615000+00:00,11354,27.2,1293,24,1,27.2,
2026-09-04T11:29:20.773000+00:00,11354,202.4,1293,25,12,202.4,
2026-09-04T11:29:46.560000+00:00,11354,180.5,1293,25,63,180.5,
