date,session_key,pressure,meeting_key,humidity,wind_direction,wind_speed,rainfall,air_temperature,track_temperature
2026-07-17T12:17:32.931000+00:00,11327,966.7,1290,39.8,328,2.0,0,23.9,37.6
2026-07-17T12:18:32.944000+00:00,11327,966.8,1290,40.4,311,1.5,0,23.8,37.0
2026-07-17T12:19:32.930000+00:00,11327,966.8,1290,41.1,292,1.6,0,23.7,36.7
2026-07-17T12:20:32.936000+00:00,11327,966.8,1290,40.8,329,1.2,0,23.8,36.7
2026-07-17T12:21:32.950000+00:00,11327,966.8,1290,41.0,1,1.8,0,23.8,36.9
2026-07-17T12:22:32.946000+00:00,11327,966.7,1290,41.0,340,1.5,0,23.7,36.7
2026-07-17T12:23:32.948000+00:00,11327,966.7,1290,41.1,282,1.1,0,23.8,35.9
2026-07-17T12:24:32.945000+00:00,11327,966.8,1290,41.1,355,2.3,0,23.8,36.0
2026-07-17T12:25:32.955000+00:00,11327,966.8,1290,41.1,355,2.3,0,23.8,36.0
2026-07-17T12:26:32.945000+00:00,11327,966.8,1290,41.1,4,0.9,0,23.7,35.8
2026-07-17T12:27:32.945000+00:00,11327,966.8,1290,41.1,4,0.9,0,23.7,35.8
2026-07-17T12:28:32.957000+00:00,11327,966.8,1290,41.6,322,2.1,0,24.1,35.4
2026-07-17T12:29:32.951000+00:00,11327,966.7,1290,41.9,325,1.0,0,23.6,35.0
2026-07-17T12:30:32.942000+00:00,11327,966.7,1290,41.9,325,1.0,0,23.7,35.0
2026-07-17T12:31:32.958000+00:00,11327,966.8,1290,42.1,308,2.2,0,23.5,34.8
2026-07-17T12:32:32.955000+00:00,11327,966.7,1290,41.9,352,1.8,0,23.4,34.8
2026-07-17T12:33:32.974000+00:00,11327,966.8,1290,42.1,52,0.9,0,23.4,34.9
2026-07-17T12:34:32.974000+00:00,11327,966.8,1290,42.4,344,2.0,0,23.3,35.0
2026-07-17T12:35:32.976000+00:00,11327,966.8,1290,42.4,344,2.0,0,23.3,35.0
2026-07-17T12:36:32.990000+00:00,11327,966.8,1290,42.4,295,1.9,0,23.2,34.4
