date,session_key,gap_to_leader,meeting_key,interval,driver_number
2026-09-13T13:04:36.761000+00:00,11369,3.937,1294,0.026,10
2026-09-13T13:04:36.761000+00:00,11369,0.007,1294,0.007,12
2026-09-13T13:04:36.839000+00:00,11369,0.129,1294,0.122,3
2026-09-13T13:04:37.027000+00:00,11369,0.308,1294,0.179,44
2026-09-13T13:04:37.074000+00:00,11369,4.355,1294,0.418,5
2026-09-13T13:04:37.496000+00:00,11369,0.763,1294,0.455,16
2026-09-13T13:04:37.699000+00:00,11369,4.941,1294,0.586,11
2026-09-13T13:04:38.011000+00:00,11369,5.288,1294,0.347,22
2026-09-13T13:04:38.136000+00:00,11369,1.413,1294,0.65,63
2026-09-13T13:04:38.402000+00:00,11369,5.682,1294,0.394,55
2026-09-13T13:04:38.710000+00:00,11369,1.987,1294,0.574,43
2026-09-13T13:04:38.879000+00:00,11369,6.152,1294,0.47,18
2026-09-13T13:04:38.967000+00:00,11369,2.236,1294,0.249,30
2026-09-13T13:04:39.322000+00:00,11369,6.497,1294,0.345,14
2026-09-13T13:04:39.378000+00:00,11369,2.63,1294,0.394,41
2026-09-13T13:04:39.712000+00:00,11369,2.95,1294,0.32,31
2026-09-13T13:04:39.719000+00:00,11369,12.493,1294,6.873,87
2026-09-13T13:04:39.732000+00:00,11369,6.996,1294,0.499,77
2026-09-13T13:04:39.775000+00:00,11369,3.067,1294,0.117,81
2026-09-13T13:04:39.979000+00:00,11369,3.254,1294,0.187,27
2026-09-13T13:04:40.511000+00:00,11369,3.715,1294,0.461,10
2026-09-13T13:04:40.638000+00:00,11369,3.859,1294,0.144,23
2026-09-13T13:04:40.822000+00:00,11369,4.048,1294,0.189,5
2026-09-13T13:04:41.479000+00:00,11369,4.761,1294,0.713,11
2026-09-13T13:04:41.799000+00:00,11369,5.083,1294,0.322,22
2026-09-13T13:04:42.229000+00:00,11369,5.52,1294,0.437,55
2026-09-13T13:04:43.279000+00:00,11369,6.562,1294,1.042,18
2026-09-13T13:04:43.955000+00:00,11369,0.316,1294,0.316,3
2026-09-13T13:04:44.294000+00:00,11369,0.605,1294,0.289,12
