date,session_key,gap_to_leader,interval,driver_number,meeting_key
2026-08-23T13:04:06.576000+00:00,11353,6.567,0.576,77,1292
2026-08-23T13:04:06.647000+00:00,11353,2.043,0.263,81,1292
2026-08-23T13:04:06.873000+00:00,11353,5.702,0.306,87,1292
2026-08-23T13:04:07.090000+00:00,11353,2.515,0.472,44,1292
2026-08-23T13:04:07.324000+00:00,11353,6.16,0.458,55,1292
2026-08-23T13:04:07.542000+00:00,11353,2.944,0.429,3,1292
2026-08-23T13:04:07.603000+00:00,11353,10.781,4.531,11,1292
2026-08-23T13:04:07.892000+00:00,11353,6.727,0.567,77,1292
2026-08-23T13:04:07.907000+00:00,11353,3.337,0.393,30,1292
2026-08-23T13:04:08.412000+00:00,11353,3.812,0.475,10,1292
2026-08-23T13:04:08.695000+00:00,11353,4.109,0.297,41,1292
2026-08-23T13:04:08.980000+00:00,11353,0.392,0.392,12,1292
2026-08-23T13:04:08.991000+00:00,11353,4.399,0.29,22,1292
2026-08-23T13:04:09.266000+00:00,11353,4.665,0.266,43,1292
2026-08-23T13:04:09.483000+00:00,11353,4.864,0.199,5,1292
2026-08-23T13:04:09.567000+00:00,11353,4.943,0.079,27,1292
2026-08-23T13:04:09.691000+00:00,11353,1.123,0.731,63,1292
2026-08-23T13:04:09.741000+00:00,11353,5.153,0.21,23,1292
2026-08-23T13:04:10.124000+00:00,11353,5.553,0.4,31,1292
2026-08-23T13:04:10.440000+00:00,11353,5.846,0.293,14,1292
2026-08-23T13:04:10.449000+00:00,11353,5.87,0.024,18,1292
2026-08-23T13:04:10.512000+00:00,11353,1.929,0.806,16,1292
2026-08-23T13:04:10.823000+00:00,11353,10.777,4.21,11,1292
2026-08-23T13:04:10.848000+00:00,11353,2.278,0.349,81,1292
2026-08-23T13:04:10.899000+00:00,11353,6.312,0.442,87,1292
2026-08-23T13:04:11.253000+00:00,11353,2.628,0.35,44,1292
2026-08-23T13:04:11.406000+00:00,11353,6.833,0.521,55,1292
2026-08-23T13:04:11.667000+00:00,11353,3.098,0.47,3,1292
2026-08-23T13:04:11.959000+00:00,11353,,4.05,11,1292
2026-08-23T13:04:12.022000+00:00,11353,7.392,0.559,77,1292
2026-08-23T13:04:12.108000+00:00,11353,3.519,0.421,30,1292
2026-08-23T13:04:12.348000+00:00,11353,0.526,0.526,12,1292
2026-08-23T13:04:12.622000+00:00,11353,4.034,0.515,10,1292
2026-08-23T13:04:12.974000+00:00,11353,4.397,0.363,41,1292
