date,session_key,position,driver_number,meeting_key
2026-09-24T12:05:07.829000+00:00,11371,8,87,1295
2026-09-24T12:05:18.027000+00:00,11371,14,5,1295
2026-09-24T12:05:18.027000+00:00,11371,6,10,1295
2026-09-24T12:05:18.027000+00:00,11371,11,11,1295
2026-09-24T12:05:18.027000+00:00,11371,13,14,1295
2026-09-24T12:05:18.027000+00:00,11371,7,23,1295
2026-09-24T12:05:18.027000+00:00,11371,5,30,1295
2026-09-24T12:05:18.027000+00:00,11371,10,31,1295
2026-09-24T12:05:18.027000+00:00,11371,8,43,1295
2026-09-24T12:05:18.027000+00:00,11371,12,77,1295
2026-09-24T12:05:18.027000+00:00,11371,4,81,1295
2026-09-24T12:05:18.027000+00:00,11371,9,87,1295
2026-09-24T12:05:28.585000+00:00,11371,13,5,1295
2026-09-24T12:05:28.585000+00:00,11371,14,14,1295
2026-09-24T12:06:04.225000+00:00,11371,12,11,1295
2026-09-24T12:06:04.225000+00:00,11371,11,77,1295
2026-09-24T12:06:21.370000+00:00,11371,7,10,1295
2026-09-24T12:06:21.370000+00:00,11371,6,11,1295
2026-09-24T12:06:21.370000+00:00,11371,8,23,1295
2026-09-24T12:06:21.370000+00:00,11371,11,31,1295
2026-09-24T12:06:21.370000+00:00,11371,9,43,1295
2026-09-24T12:06:21.370000+00:00,11371,12,77,1295
2026-09-24T12:06:21.370000+00:00,11371,10,87,1295
2026-09-24T12:06:44.820000+00:00,11371,14,5,1295
2026-09-24T12:06:44.820000+00:00,11371,8,14,1295
2026-09-24T12:06:44.820000+00:00,11371,9,23,1295
2026-09-24T12:06:44.820000+00:00,11371,12,31,1295
2026-09-24T12:06:44.820000+00:00,11371,10,43,1295
2026-09-24T12:06:44.820000+00:00,11371,13,77,1295
2026-09-24T12:06:44.820000+00:00,11371,11,87,1295
2026-09-24T12:07:16.245000+00:00,11371,6,5,1295
2026-09-24T12:07:16.245000+00:00,11371,8,10,1295
2026-09-24T12:07:16.245000+00:00,11371,7,11,1295
2026-09-24T12:07:16.245000+00:00,11371,9,14,1295
2026-09-24T12:07:16.245000+00:00,11371,10,23,1295
2026-09-24T12:07:16.245000+00:00,11371,13,31,1295
2026-09-24T12:07:16.245000+00:00,11371,11,43,1295
2026-09-24T12:07:16.245000+00:00,11371,14,77,1295
2026-09-24T12:07:16.245000+00:00,11371,12,87,1295
2026-09-24T12:07:50.499000+00:00,11371,15,16,1295
2026-09-24T12:07:50.499000+00:00,11371,16,18,1295
2026-09-24T12:08:04.153000+00:00,11371,7,5,1295
2026-09-24T12:08:04.153000+00:00,11371,4,10,1295
2026-09-24T12:08:04.153000+00:00,11371,8,11,1295
2026-09-24T12:08:04.153000+00:00,11371,6,30,1295
2026-09-24T12:08:04.153000+00:00,11371,5,81,1295
2026-09-24T12:08:18.211000+00:00,11371,4,1,1295
2026-09-24T12:08:18.211000+00:00,11371,8,5,1295
2026-09-24T12:08:18.211000+00:00,11371,3,6,1295
2026-09-24T12:08:18.211000+00:00,11371,5,10,1295
2026-09-24T12:08:18.211000+00:00,11371,9,11,1295
2026-09-24T12:08:18.211000+00:00,11371,10,14,1295
2026-09-24T12:08:18.211000+00:00,11371,16,16,1295
2026-09-24T12:08:18.211000+00:00,11371,17,18,1295
2026-09-24T12:08:18.211000+00:00,11371,11,23,1295
2026-09-24T12:08:18.211000+00:00,11371,7,30,1295
2026-09-24T12:08:18.211000+00:00,11371,14,31,1295
2026-09-24T12:08:18.211000+00:00,11371,12,43,1295
2026-09-24T12:08:18.211000+00:00,11371,18,44,1295
2026-09-24T12:08:18.211000+00:00,11371,15,77,1295
2026-09-24T12:08:18.211000+00:00,11371,6,81,1295
2026-09-24T12:08:18.211000+00:00,11371,13,87,1295
2026-09-24T12:08:21.196000+00:00,11371,18,18,1295
2026-09-24T12:08:21.196000+00:00,11371,17,44,1295
2026-09-24T12:08:36+00:00,11371,9,5,1295
2026-09-24T12:08:36+00:00,11371,10,11,1295
2026-09-24T12:08:36+00:00,11371,11,14,1295
2026-09-24T12:08:36+00:00,11371,12,23,1295
2026-09-24T12:08:36+00:00,11371,8,31,1295
2026-09-24T12:08:36+00:00,11371,13,43,1295
2026-09-24T12:08:36+00:00,11371,14,87,1295
2026-09-24T12:08:43.106000+00:00,11371,10,5,1295
2026-09-24T12:08:43.106000+00:00,11371,11,11,1295
2026-09-24T12:08:43.106000+00:00,11371,12,14,1295
2026-09-24T12:08:43.106000+00:00,11371,13,23,1295
2026-09-24T12:08:43.106000+00:00,11371,14,43,1295
2026-09-24T12:08:43.106000+00:00,11371,9,87,1295
2026-09-24T12:08:46.074000+00:00,11371,11,5,1295
2026-09-24T12:08:46.074000+00:00,11371,12,11,1295
2026-09-24T12:08:46.074000+00:00,11371,13,14,1295
2026-09-24T12:08:46.074000+00:00,11371,17,16,1295
2026-09-24T12:08:46.074000+00:00,11371,19,18,1295
2026-09-24T12:08:46.074000+00:00,11371,14,23,1295
2026-09-24T12:08:46.074000+00:00,11371,9,27,1295
2026-09-24T12:08:46.074000+00:00,11371,15,43,1295
2026-09-24T12:08:46.074000+00:00,11371,18,44,1295
2026-09-24T12:08:46.074000+00:00,11371,16,77,1295
2026-09-24T12:08:46.074000+00:00,11371,10,87,1295
2026-09-24T12:08:48.763000+00:00,11371,12,5,1295
2026-09-24T12:08:48.763000+00:00,11371,13,11,1295
2026-09-24T12:08:48.763000+00:00,11371,14,14,1295
2026-09-24T12:08:48.763000+00:00,11371,15,23,1295
2026-09-24T12:08:48.763000+00:00,11371,10,27,1295
2026-09-24T12:08:48.763000+00:00,11371,8,30,1295
2026-09-24T12:08:48.763000+00:00,11371,9,31,1295
2026-09-24T12:08:48.763000+00:00,11371,7,43,1295
2026-09-24T12:08:48.763000+00:00,11371,11,87,1295
2026-09-24T12:08:58.561000+00:00,11371,1,1,1295
2026-09-24T12:08:58.561000+00:00,11371,2,3,1295
2026-09-24T12:08:58.561000+00:00,11371,4,6,1295
2026-09-24T12:08:58.561000+00:00,11371,3,63,1295
2026-09-24T12:09:09.460000+00:00,11371,13,5,1295
2026-09-24T12:09:09.460000+00:00,11371,14,11,1295
2026-09-24T12:09:09.460000+00:00,11371,15,14,1295
2026-09-24T12:09:09.460000+00:00,11371,10,23,1295
2026-09-24T12:09:09.460000+00:00,11371,11,27,1295
2026-09-24T12:09:09.460000+00:00,11371,12,87,1295
2026-09-24T12:09:18.558000+00:00,11371,2,1,1295
2026-09-24T12:09:18.558000+00:00,11371,1,3,1295
2026-09-24T12:09:27.518000+00:00,11371,18,16,1295
2026-09-24T12:09:27.518000+00:00,11371,16,18,1295
2026-09-24T12:09:27.518000+00:00,11371,19,44,1295
2026-09-24T12:09:27.518000+00:00,11371,17,77,1295
2026-09-24T12:09:28.674000+00:00,11371,5,6,1295
2026-09-24T12:09:28.674000+00:00,11371,6,10,1295
2026-09-24T12:09:28.674000+00:00,11371,4,81,1295
2026-09-24T12:09:35.897000+00:00,11371,14,5,1295
2026-09-24T12:09:35.897000+00:00,11371,6,6,1295
2026-09-24T12:09:35.897000+00:00,11371,7,10,1295
2026-09-24T12:09:35.897000+00:00,11371,15,11,1295
2026-09-24T12:09:35.897000+00:00,11371,16,14,1295
2026-09-24T12:09:35.897000+00:00,11371,3,16,1295
2026-09-24T12:09:35.897000+00:00,11371,17,18,1295
2026-09-24T12:09:35.897000+00:00,11371,11,23,1295
2026-09-24T12:09:35.897000+00:00,11371,12,27,1295
2026-09-24T12:09:35.897000+00:00,11371,9,30,1295
2026-09-24T12:09:35.897000+00:00,11371,10,31,1295
2026-09-24T12:09:35.897000+00:00,11371,8,43,1295
2026-09-24T12:09:35.897000+00:00,11371,4,63,1295
2026-09-24T12:09:35.897000+00:00,11371,18,77,1295
2026-09-24T12:09:35.897000+00:00,11371,5,81,1295
2026-09-24T12:09:35.897000+00:00,11371,13,87,1295
2026-09-24T12:10:07.535000+00:00,11371,15,5,1295
2026-09-24T12:10:07.535000+00:00,11371,8,10,1295
2026-09-24T12:10:07.535000+00:00,11371,16,11,1295
2026-09-24T12:10:07.535000+00:00,11371,17,14,1295
2026-09-24T12:10:07.535000+00:00,11371,18,18,1295
2026-09-24T12:10:07.535000+00:00,11371,12,23,1295
2026-09-24T12:10:07.535000+00:00,11371,13,27,1295
2026-09-24T12:10:07.535000+00:00,11371,10,30,1295
2026-09-24T12:10:07.535000+00:00,11371,11,31,1295
2026-09-24T12:10:07.535000+00:00,11371,9,43,1295
2026-09-24T12:10:07.535000+00:00,11371,7,44,1295
2026-09-24T12:10:07.535000+00:00,11371,19,77,1295
2026-09-24T12:10:07.535000+00:00,11371,14,87,1295
2026-09-24T12:10:08.395000+00:00,11371,21,12,1295
2026-09-24T12:10:08.395000+00:00,11371,22,41,1295
2026-09-24T12:10:08.395000+00:00,11371,20,55,1295
