date,session_key,meeting_key,driver_number,gap_to_leader,interval,source_closure_retrieved_utc
2026-07-04T11:04:12.149000+00:00,11321,1289,3,1.242,0.415,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:12.414000+00:00,11321,1289,16,1.484,0.242,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:12.555000+00:00,11321,1289,10,1.65,0.166,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:12.774000+00:00,11321,1289,41,1.844,0.194,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:12.852000+00:00,11321,1289,43,1.937,0.093,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:12.914000+00:00,11321,1289,30,2.002,0.065,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:13.227000+00:00,11321,1289,6,2.251,0.249,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:13.555000+00:00,11321,1289,55,2.583,0.332,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:13.570000+00:00,11321,1289,87,2.602,0.019,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:13.899000+00:00,11321,1289,27,2.93,0.328,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:14.195000+00:00,11321,1289,5,3.144,0.214,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:14.430000+00:00,11321,1289,31,3.31,0.166,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:14.727000+00:00,11321,1289,14,3.542,0.232,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:14.883000+00:00,11321,1289,11,3.695,0.153,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:15.195000+00:00,11321,1289,77,4.036,0.341,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:15.258000+00:00,11321,1289,18,4.095,0.059,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:15.289000+00:00,11321,1289,12,0.482,0.482,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:15.586000+00:00,11321,1289,1,0.775,0.293,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:15.867000+00:00,11321,1289,81,1.009,0.234,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:15.883000+00:00,11321,1289,63,1.026,0.017,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:16.289000+00:00,11321,1289,3,1.482,0.456,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:16.461000+00:00,11321,1289,16,1.666,0.184,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:16.758000+00:00,11321,1289,10,1.948,0.282,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:17.070000+00:00,11321,1289,41,2.219,0.271,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:17.086000+00:00,11321,1289,43,2.249,0.03,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:17.399000+00:00,11321,1289,23,9.586,5.992,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:17.445000+00:00,11321,1289,30,2.504,0.255,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:17.461000+00:00,11321,1289,6,2.628,0.124,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:17.852000+00:00,11321,1289,87,3.024,0.396,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:18.195000+00:00,11321,1289,55,3.352,0.328,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:18.338000+00:00,11321,1289,27,3.515,0.163,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:18.633000+00:00,11321,1289,5,3.73,0.215,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:18.711000+00:00,11321,1289,31,3.852,0.122,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:18.914000+00:00,11321,1289,14,3.978,0.126,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:19.117000+00:00,11321,1289,11,4.252,0.274,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:19.367000+00:00,11321,1289,18,4.513,0.261,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:19.399000+00:00,11321,1289,77,4.539,0.026,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:21.227000+00:00,11321,1289,23,10.246,6.21,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:21.289000+00:00,11321,1289,12,0.579,0.579,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:21.602000+00:00,11321,1289,1,0.884,0.305,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:21.883000+00:00,11321,1289,63,1.081,0.197,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:22.117000+00:00,11321,1289,81,1.318,0.237,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:22.508000+00:00,11321,1289,3,1.739,0.421,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:22.602000+00:00,11321,1289,16,1.858,0.119,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:23.102000+00:00,11321,1289,10,2.353,0.495,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:23.320000+00:00,11321,1289,41,2.516,0.163,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:23.430000+00:00,11321,1289,43,2.654,0.138,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:23.602000+00:00,11321,1289,30,2.796,0.142,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:23.789000+00:00,11321,1289,6,3.027,0.231,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:24.133000+00:00,11321,1289,87,3.389,0.362,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:24.742000+00:00,11321,1289,31,4.042,0.653,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:24.945000+00:00,11321,1289,27,4.151,0.109,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:25.039000+00:00,11321,1289,55,4.264,0.113,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:25.102000+00:00,11321,1289,12,0.501,0.501,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:25.258000+00:00,11321,1289,5,4.348,0.084,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:25.274000+00:00,11321,1289,14,4.423,0.075,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:25.289000+00:00,11321,1289,23,10.453,5.914,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:25.352000+00:00,11321,1289,1,0.731,0.23,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:25.367000+00:00,11321,1289,11,4.528,0.105,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:25.508000+00:00,11321,1289,18,4.65,0.122,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:25.617000+00:00,11321,1289,77,4.853,0.203,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:25.695000+00:00,11321,1289,63,1.054,0.323,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:25.836000+00:00,11321,1289,81,1.223,0.169,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:26.274000+00:00,11321,1289,3,1.665,0.442,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:26.633000+00:00,11321,1289,16,2.029,0.364,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:26.867000+00:00,11321,1289,10,2.253,0.224,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:27.149000+00:00,11321,1289,41,2.507,0.254,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:27.242000+00:00,11321,1289,43,2.608,0.101,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:27.445000+00:00,11321,1289,30,2.819,0.211,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:27.602000+00:00,11321,1289,6,3.006,0.187,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:27.930000+00:00,11321,1289,87,3.307,0.301,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:28.774000+00:00,11321,1289,31,4.148,0.841,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:28.883000+00:00,11321,1289,27,4.27,0.122,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:29.117000+00:00,11321,1289,55,4.493,0.223,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:29.149000+00:00,11321,1289,12,0.214,0.214,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:29.305000+00:00,11321,1289,1,0.29,0.076,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:29.477000+00:00,11321,1289,5,4.829,0.336,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:29.680000+00:00,11321,1289,14,5.047,0.218,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:29.742000+00:00,11321,1289,11,5.108,0.061,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:29.789000+00:00,11321,1289,81,0.825,0.535,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:29.789000+00:00,11321,1289,18,5.173,0.065,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:29.867000+00:00,11321,1289,63,0.875,0.05,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:30.086000+00:00,11321,1289,77,5.484,0.311,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:30.414000+00:00,11321,1289,3,1.413,0.538,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:30.492000+00:00,11321,1289,12,0.201,0.201,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:30.617000+00:00,11321,1289,1,0.303,0.102,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:30.789000+00:00,11321,1289,10,1.814,0.401,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:30.867000+00:00,11321,1289,16,1.858,0.044,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:31.039000+00:00,11321,1289,81,0.754,0.451,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:31.242000+00:00,11321,1289,63,0.891,0.137,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:31.336000+00:00,11321,1289,43,2.337,0.479,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:31.383000+00:00,11321,1289,23,10.616,5.763,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:31.414000+00:00,11321,1289,41,2.408,0.071,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:31.524000+00:00,11321,1289,30,2.516,0.108,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:31.649000+00:00,11321,1289,6,2.633,0.117,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:31.711000+00:00,11321,1289,3,1.38,0.489,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:32.070000+00:00,11321,1289,87,3.097,0.464,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:32.070000+00:00,11321,1289,10,1.716,0.336,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:32.102000+00:00,11321,1289,16,1.799,0.083,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:32.617000+00:00,11321,1289,43,2.301,0.502,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:32.680000+00:00,11321,1289,41,2.381,0.08,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:32.867000+00:00,11321,1289,30,2.541,0.16,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:32.961000+00:00,11321,1289,6,2.622,0.081,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:32.977000+00:00,11321,1289,27,3.99,0.893,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:33.086000+00:00,11321,1289,31,4.115,0.125,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:33.133000+00:00,11321,1289,55,4.15,0.035,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:33.445000+00:00,11321,1289,87,3.146,0.524,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:33.570000+00:00,11321,1289,5,4.573,0.423,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:33.852000+00:00,11321,1289,14,4.873,0.3,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:34.242000+00:00,11321,1289,18,5.205,0.332,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:34.433000+00:00,11321,1289,11,5.295,0.09,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:34.442000+00:00,11321,1289,27,4.001,0.855,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:34.506000+00:00,11321,1289,31,4.165,0.164,2026-08-23T07:52:07.178280Z
2026-07-04T11:04:34.562000+00:00,11321,1289,77,5.563,0.268,2026-08-23T07:52:07.178280Z
