date,session_key,position,meeting_key,driver_number
2026-09-05T14:29:32.341000+00:00,11357,5,1293,10
2026-09-05T14:29:32.341000+00:00,11357,7,1293,43
2026-09-05T14:29:34.568000+00:00,11357,5,1293,63
2026-09-05T14:29:34.568000+00:00,11357,7,1293,1
2026-09-05T14:29:34.568000+00:00,11357,9,1293,41
2026-09-05T14:29:34.568000+00:00,11357,6,1293,10
2026-09-05T14:29:34.568000+00:00,11357,8,1293,43
2026-09-05T14:29:37.087000+00:00,11357,11,1293,44
2026-09-05T14:29:37.087000+00:00,11357,8,1293,1
2026-09-05T14:29:37.087000+00:00,11357,12,1293,16
2026-09-05T14:29:37.087000+00:00,11357,10,1293,41
