date,session_key,position,meeting_key,driver_number
2026-07-04T15:09:48.356000+00:00,11322,22,1289,23
2026-07-04T15:09:48.356000+00:00,11322,13,1289,77
2026-07-04T15:09:48.356000+00:00,11322,14,1289,11
2026-07-04T15:09:48.356000+00:00,11322,17,1289,14
2026-07-04T15:09:48.356000+00:00,11322,16,1289,18
2026-07-04T15:10:00.547000+00:00,11322,19,1289,63
2026-07-04T15:10:00.547000+00:00,11322,12,1289,27
2026-07-04T15:10:00.547000+00:00,11322,16,1289,30
2026-07-04T15:10:00.547000+00:00,11322,11,1289,43
2026-07-04T15:10:00.547000+00:00,11322,20,1289,5
2026-07-04T15:10:00.547000+00:00,11322,21,1289,41
2026-07-04T15:10:00.547000+00:00,11322,10,1289,87
2026-07-04T15:10:00.547000+00:00,11322,22,1289,55
2026-07-04T15:10:00.547000+00:00,11322,13,1289,31
2026-07-04T15:10:00.547000+00:00,11322,8,1289,23
2026-07-04T15:10:00.547000+00:00,11322,14,1289,77
2026-07-04T15:10:00.547000+00:00,11322,15,1289,11
2026-07-04T15:10:00.547000+00:00,11322,18,1289,14
2026-07-04T15:10:00.547000+00:00,11322,9,1289,10
2026-07-04T15:10:00.547000+00:00,11322,17,1289,18
2026-07-04T15:10:04.337000+00:00,11322,9,1289,87
2026-07-04T15:10:04.337000+00:00,11322,10,1289,10
2026-07-04T15:10:11.488000+00:00,11322,20,1289,63
2026-07-04T15:10:11.488000+00:00,11322,8,1289,81
2026-07-04T15:10:11.488000+00:00,11322,6,1289,3
2026-07-04T15:10:11.488000+00:00,11322,5,1289,1
2026-07-04T15:10:11.488000+00:00,11322,7,1289,6
2026-07-04T15:10:11.488000+00:00,11322,13,1289,27
2026-07-04T15:10:11.488000+00:00,11322,17,1289,30
2026-07-04T15:10:11.488000+00:00,11322,12,1289,43
2026-07-04T15:10:11.488000+00:00,11322,21,1289,5
2026-07-04T15:10:11.488000+00:00,11322,4,1289,41
2026-07-04T15:10:11.488000+00:00,11322,10,1289,87
2026-07-04T15:10:11.488000+00:00,11322,14,1289,31
2026-07-04T15:10:11.488000+00:00,11322,9,1289,23
2026-07-04T15:10:11.488000+00:00,11322,15,1289,77
2026-07-04T15:10:11.488000+00:00,11322,16,1289,11
2026-07-04T15:10:11.488000+00:00,11322,19,1289,14
2026-07-04T15:10:11.488000+00:00,11322,11,1289,10
2026-07-04T15:10:11.488000+00:00,11322,18,1289,18
2026-07-04T15:10:29.184000+00:00,11322,9,1289,81
2026-07-04T15:10:29.184000+00:00,11322,7,1289,3
2026-07-04T15:10:29.184000+00:00,11322,6,1289,1
2026-07-04T15:10:29.184000+00:00,11322,8,1289,6
2026-07-04T15:10:29.184000+00:00,11322,5,1289,27
2026-07-04T15:10:29.184000+00:00,11322,13,1289,43
2026-07-04T15:10:29.184000+00:00,11322,11,1289,87
2026-07-04T15:10:29.184000+00:00,11322,10,1289,23
2026-07-04T15:10:29.184000+00:00,11322,12,1289,10
2026-07-04T15:10:34.109000+00:00,11322,14,1289,43
2026-07-04T15:10:34.109000+00:00,11322,12,1289,87
2026-07-04T15:10:34.109000+00:00,11322,11,1289,31
2026-07-04T15:10:34.109000+00:00,11322,13,1289,10
2026-07-04T15:10:39.103000+00:00,11322,21,1289,63
2026-07-04T15:10:39.103000+00:00,11322,18,1289,30
2026-07-04T15:10:39.103000+00:00,11322,15,1289,43
2026-07-04T15:10:39.103000+00:00,11322,22,1289,5
2026-07-04T15:10:39.103000+00:00,11322,13,1289,55
2026-07-04T15:10:39.103000+00:00,11322,16,1289,77
2026-07-04T15:10:39.103000+00:00,11322,17,1289,11
2026-07-04T15:10:39.103000+00:00,11322,20,1289,14
2026-07-04T15:10:39.103000+00:00,11322,14,1289,10
2026-07-04T15:10:39.103000+00:00,11322,19,1289,18
2026-07-04T15:10:44.661000+00:00,11322,19,1289,14
2026-07-04T15:10:44.661000+00:00,11322,20,1289,18
2026-07-04T15:10:46.238000+00:00,11322,17,1289,77
2026-07-04T15:10:46.238000+00:00,11322,16,1289,11
2026-07-04T15:11:48.137000+00:00,11322,10,1289,81
2026-07-04T15:11:48.137000+00:00,11322,8,1289,3
2026-07-04T15:11:48.137000+00:00,11322,7,1289,1
2026-07-04T15:11:48.137000+00:00,11322,9,1289,6
2026-07-04T15:11:48.137000+00:00,11322,6,1289,27
2026-07-04T15:11:48.137000+00:00,11322,5,1289,30
2026-07-04T15:11:48.137000+00:00,11322,16,1289,43
2026-07-04T15:11:48.137000+00:00,11322,13,1289,87
2026-07-04T15:11:48.137000+00:00,11322,14,1289,55
2026-07-04T15:11:48.137000+00:00,11322,12,1289,31
2026-07-04T15:11:48.137000+00:00,11322,11,1289,23
2026-07-04T15:11:48.137000+00:00,11322,18,1289,77
2026-07-04T15:11:48.137000+00:00,11322,17,1289,11
2026-07-04T15:11:48.137000+00:00,11322,15,1289,10
2026-07-04T15:14:55.159000+00:00,11322,5,1289,63
2026-07-04T15:14:55.159000+00:00,11322,11,1289,81
2026-07-04T15:14:55.159000+00:00,11322,9,1289,3
2026-07-04T15:14:55.159000+00:00,11322,8,1289,1
2026-07-04T15:14:55.159000+00:00,11322,10,1289,6
2026-07-04T15:14:55.159000+00:00,11322,7,1289,27
2026-07-04T15:14:55.159000+00:00,11322,6,1289,30
2026-07-04T15:14:55.159000+00:00,11322,17,1289,43
2026-07-04T15:14:55.159000+00:00,11322,14,1289,87
2026-07-04T15:14:55.159000+00:00,11322,15,1289,55
2026-07-04T15:14:55.159000+00:00,11322,13,1289,31
2026-07-04T15:14:55.159000+00:00,11322,12,1289,23
2026-07-04T15:14:55.159000+00:00,11322,19,1289,77
2026-07-04T15:14:55.159000+00:00,11322,18,1289,11
2026-07-04T15:14:55.159000+00:00,11322,20,1289,14
2026-07-04T15:14:55.159000+00:00,11322,16,1289,10
2026-07-04T15:14:55.159000+00:00,11322,21,1289,18
2026-07-04T15:15:11.130000+00:00,11322,6,1289,63
2026-07-04T15:15:11.130000+00:00,11322,5,1289,81
2026-07-04T15:15:11.130000+00:00,11322,10,1289,3
2026-07-04T15:15:11.130000+00:00,11322,9,1289,1
2026-07-04T15:15:11.130000+00:00,11322,11,1289,6
2026-07-04T15:15:11.130000+00:00,11322,8,1289,27
2026-07-04T15:15:11.130000+00:00,11322,7,1289,30
2026-07-04T15:16:06.739000+00:00,11322,3,1289,44
2026-07-04T15:16:06.739000+00:00,11322,4,1289,12
2026-07-04T15:16:06.739000+00:00,11322,7,1289,63
2026-07-04T15:16:06.739000+00:00,11322,6,1289,81
2026-07-04T15:16:06.739000+00:00,11322,2,1289,3
2026-07-04T15:16:06.739000+00:00,11322,10,1289,1
2026-07-04T15:16:06.739000+00:00,11322,9,1289,27
2026-07-04T15:16:06.739000+00:00,11322,8,1289,30
2026-07-04T15:16:06.739000+00:00,11322,5,1289,41
2026-07-04T15:16:14.534000+00:00,11322,4,1289,44
2026-07-04T15:16:14.534000+00:00,11322,5,1289,12
2026-07-04T15:16:14.534000+00:00,11322,2,1289,16
2026-07-04T15:16:14.534000+00:00,11322,8,1289,63
2026-07-04T15:16:14.534000+00:00,11322,7,1289,81
2026-07-04T15:16:14.534000+00:00,11322,3,1289,3
2026-07-04T15:16:14.534000+00:00,11322,1,1289,6
2026-07-04T15:16:14.534000+00:00,11322,10,1289,27
2026-07-04T15:16:14.534000+00:00,11322,9,1289,30
2026-07-04T15:16:14.534000+00:00,11322,16,1289,43
2026-07-04T15:16:14.534000+00:00,11322,21,1289,5
2026-07-04T15:16:14.534000+00:00,11322,6,1289,41
2026-07-04T15:16:14.534000+00:00,11322,13,1289,87
2026-07-04T15:16:14.534000+00:00,11322,14,1289,55
2026-07-04T15:16:14.534000+00:00,11322,12,1289,31
2026-07-04T15:16:14.534000+00:00,11322,11,1289,23
2026-07-04T15:16:14.534000+00:00,11322,18,1289,77
2026-07-04T15:16:14.534000+00:00,11322,17,1289,11
2026-07-04T15:16:14.534000+00:00,11322,19,1289,14
2026-07-04T15:16:14.534000+00:00,11322,15,1289,10
2026-07-04T15:16:14.534000+00:00,11322,20,1289,18
2026-07-04T15:16:14.581000+00:00,11322,11,1289,1
2026-07-04T15:16:14.581000+00:00,11322,17,1289,43
2026-07-04T15:16:14.581000+00:00,11322,22,1289,5
2026-07-04T15:16:14.581000+00:00,11322,14,1289,87
2026-07-04T15:16:14.581000+00:00,11322,15,1289,55
2026-07-04T15:16:14.581000+00:00,11322,13,1289,31
2026-07-04T15:16:14.581000+00:00,11322,12,1289,23
2026-07-04T15:16:14.581000+00:00,11322,19,1289,77
2026-07-04T15:16:14.581000+00:00,11322,18,1289,11
2026-07-04T15:16:14.581000+00:00,11322,20,1289,14
2026-07-04T15:16:14.581000+00:00,11322,16,1289,10
2026-07-04T15:16:14.581000+00:00,11322,21,1289,18
2026-07-04T15:17:10.731000+00:00,11322,15,1289,87
2026-07-04T15:17:10.731000+00:00,11322,16,1289,55
2026-07-04T15:17:10.731000+00:00,11322,14,1289,31
2026-07-04T15:17:10.731000+00:00,11322,13,1289,23
