date,session_key,wind_direction,air_temperature,humidity,pressure,track_temperature,wind_speed,rainfall,meeting_key
2026-07-24T15:08:30.437000+00:00,11336,339,23.9,30.0,985.9,31.3,0.8,0,1291
2026-07-24T15:09:30.434000+00:00,11336,356,23.8,29.9,985.8,31.5,0.4,0,1291
2026-07-24T15:10:30.425000+00:00,11336,298,23.9,30.1,985.8,30.9,3.0,0,1291
2026-07-24T15:11:30.432000+00:00,11336,299,23.9,30.7,985.8,31.1,1.8,0,1291
2026-07-24T15:12:30.425000+00:00,11336,299,23.9,30.7,985.8,31.1,1.8,0,1291
2026-07-24T15:13:30.433000+00:00,11336,298,23.8,30.6,985.9,30.8,2.1,0,1291
2026-07-24T15:14:30.433000+00:00,11336,273,23.9,30.3,985.8,30.4,0.8,0,1291
2026-07-24T15:15:30.441000+00:00,11336,277,23.8,30.1,985.8,30.8,1.8,0,1291
2026-07-24T15:16:30.480000+00:00,11336,277,23.8,30.1,985.8,30.8,1.8,0,1291
2026-07-24T15:17:30.475000+00:00,11336,281,23.7,30.5,985.8,30.1,2.4,0,1291
2026-07-24T15:18:30.486000+00:00,11336,285,23.6,30.5,985.8,30.6,1.8,0,1291
2026-07-24T15:19:30.498000+00:00,11336,285,23.6,30.5,985.8,30.6,1.8,0,1291
2026-07-24T15:20:30.619000+00:00,11336,260,23.7,30.3,985.8,30.0,1.9,0,1291
2026-07-24T15:21:30.518000+00:00,11336,314,23.8,30.6,985.8,31.5,1.1,0,1291
2026-07-24T15:22:30.533000+00:00,11336,356,23.8,30.6,985.8,31.1,1.3,0,1291
2026-07-24T15:23:30.533000+00:00,11336,315,23.6,30.3,985.8,31.2,1.7,0,1291
2026-07-24T15:24:30.532000+00:00,11336,318,23.5,30.0,985.9,30.5,1.9,0,1291
2026-07-24T15:25:30.538000+00:00,11336,295,23.4,30.0,985.9,30.6,1.6,0,1291
2026-07-24T15:26:30.565000+00:00,11336,319,23.4,30.0,985.9,30.6,0.9,0,1291
2026-07-24T15:27:30.568000+00:00,11336,293,23.3,30.1,985.9,30.2,1.3,0,1291
2026-07-24T15:28:30.553000+00:00,11336,304,23.3,30.2,986.0,30.5,1.7,0,1291
2026-07-24T15:29:30.567000+00:00,11336,294,23.3,30.4,985.8,30.3,2.2,0,1291
2026-07-24T15:30:30.581000+00:00,11336,16,23.3,30.8,985.8,30.4,1.9,0,1291
2026-07-24T15:31:30.575000+00:00,11336,285,23.3,30.5,985.9,30.3,2.5,0,1291
2026-07-24T15:32:30.570000+00:00,11336,287,23.4,30.9,985.9,29.5,2.5,0,1291
2026-07-24T15:33:30.587000+00:00,11336,289,23.4,31.1,985.9,30.1,3.2,0,1291
2026-07-24T15:34:30.561000+00:00,11336,310,23.4,31.0,985.9,30.3,1.1,0,1291
2026-07-24T15:35:30.573000+00:00,11336,353,23.4,30.7,985.9,30.1,0.7,0,1291
2026-07-24T15:36:30.573000+00:00,11336,293,23.4,30.6,985.9,29.7,2.4,0,1291
2026-07-24T15:37:30.577000+00:00,11336,0,23.3,31.0,985.9,30.3,1.6,0,1291
2026-07-24T15:38:30.580000+00:00,11336,319,23.4,30.5,985.9,29.6,1.4,0,1291
2026-07-24T15:39:30.566000+00:00,11336,179,23.5,30.0,986.0,29.5,0.7,0,1291
2026-07-24T15:40:30.578000+00:00,11336,58,23.7,29.0,985.9,30.1,0.9,0,1291
2026-07-24T15:41:30.580000+00:00,11336,266,23.7,29.0,986.0,29.2,1.4,0,1291
2026-07-24T15:42:30.579000+00:00,11336,266,23.7,29.0,986.0,29.2,1.4,0,1291
2026-07-24T15:43:30.577000+00:00,11336,0,23.7,29.7,986.0,29.6,0.0,0,1291
2026-07-24T15:44:30.582000+00:00,11336,0,23.7,30.2,986.0,29.3,0.0,0,1291
2026-07-24T15:45:30.585000+00:00,11336,359,23.7,30.3,986.0,29.1,0.7,0,1291
2026-07-24T15:46:30.576000+00:00,11336,260,23.8,30.3,986.0,29.5,1.0,0,1291
2026-07-24T15:47:30.582000+00:00,11336,282,23.8,30.6,985.9,29.1,1.6,0,1291
2026-07-24T15:48:30.582000+00:00,11336,298,23.7,31.0,985.9,29.5,1.7,0,1291
2026-07-24T15:49:30.591000+00:00,11336,295,23.8,30.7,986.0,28.9,3.8,0,1291
2026-07-24T15:50:30.583000+00:00,11336,293,23.8,31.0,986.0,28.9,3.4,0,1291
2026-07-24T15:51:30.574000+00:00,11336,296,23.9,30.8,986.1,28.6,3.4,0,1291
2026-07-24T15:52:30.596000+00:00,11336,300,23.8,30.6,986.1,28.7,2.6,0,1291
2026-07-24T15:53:30.599000+00:00,11336,297,23.6,30.7,986.0,28.9,3.0,0,1291
2026-07-24T15:54:30.584000+00:00,11336,290,23.5,30.8,986.0,28.5,1.3,0,1291
2026-07-24T15:55:30.578000+00:00,11336,291,23.5,30.8,986.0,28.5,1.9,0,1291
2026-07-24T15:56:30.588000+00:00,11336,295,23.5,31.1,986.1,28.6,2.2,0,1291
2026-07-24T15:57:30.589000+00:00,11336,291,23.3,31.0,986.0,28.2,2.1,0,1291
2026-07-24T15:58:30.597000+00:00,11336,301,23.3,31.5,986.0,28.1,0.9,0,1291
2026-07-24T15:59:30.592000+00:00,11336,325,23.3,31.4,986.0,28.5,0.3,0,1291
2026-07-24T16:00:30.587000+00:00,11336,86,23.2,31.3,986.0,28.5,0.4,0,1291
2026-07-24T16:01:30.584000+00:00,11336,289,23.3,31.2,986.0,27.9,2.3,0,1291
2026-07-24T16:02:30.580000+00:00,11336,294,23.2,31.3,986.1,27.7,2.9,0,1291
2026-07-24T16:03:30.588000+00:00,11336,6,23.1,31.7,985.9,28.5,0.4,0,1291
2026-07-24T16:04:30.589000+00:00,11336,310,23.2,31.9,986.0,28.3,1.3,0,1291
2026-07-24T16:05:30.590000+00:00,11336,307,23.2,31.5,985.9,28.2,1.5,0,1291
2026-07-24T16:06:30.596000+00:00,11336,305,23.3,31.1,986.0,28.3,2.0,0,1291
2026-07-24T16:07:30.596000+00:00,11336,308,23.3,31.0,986.0,28.3,1.1,0,1291
2026-07-24T16:08:30.594000+00:00,11336,349,23.3,31.1,986.1,28.5,0.8,0,1291
