date,session_key,pressure,air_temperature,humidity,rainfall,meeting_key,wind_speed,track_temperature,wind_direction
2026-07-04T15:06:54.363000+00:00,11322,1007.6,25.1,49.4,0,1289,1.6,39.2,231
2026-07-04T15:07:54.360000+00:00,11322,1007.7,25.0,49.8,0,1289,2.6,38.5,285
2026-07-04T15:08:54.372000+00:00,11322,1007.7,25.0,49.6,0,1289,3.1,38.4,259
2026-07-04T15:09:54.353000+00:00,11322,1007.7,25.0,50.0,0,1289,1.6,40.1,145
2026-07-04T15:10:54.372000+00:00,11322,1007.7,25.2,50.0,0,1289,1.6,40.1,145
2026-07-04T15:11:54.373000+00:00,11322,1007.7,25.2,49.1,0,1289,2.8,41.2,212
2026-07-04T15:12:54.375000+00:00,11322,1007.7,25.2,48.8,0,1289,0.7,41.6,53
2026-07-04T15:13:54.372000+00:00,11322,1007.6,25.2,49.0,0,1289,1.7,42.1,358
2026-07-04T15:14:54.372000+00:00,11322,1007.7,25.2,48.0,0,1289,2.5,42.3,123
2026-07-04T15:15:54.380000+00:00,11322,1007.7,25.3,48.0,0,1289,0.8,42.6,165
2026-07-04T15:16:54.387000+00:00,11322,1007.6,25.3,48.1,0,1289,2.9,41.0,238
2026-07-04T15:17:54.375000+00:00,11322,1007.7,25.2,47.2,0,1289,2.8,40.7,234
2026-07-04T15:18:54.367000+00:00,11322,1007.6,25.2,47.9,0,1289,2.7,40.2,221
2026-07-04T15:19:54.384000+00:00,11322,1007.6,25.2,48.3,0,1289,2.4,40.0,226
2026-07-04T15:20:54.391000+00:00,11322,1007.6,25.1,48.8,0,1289,2.5,39.6,254
2026-07-04T15:21:54.412000+00:00,11322,1007.6,25.1,48.5,0,1289,1.8,40.5,232
2026-07-04T15:22:54.405000+00:00,11322,1007.6,25.1,49.5,0,1289,2.8,41.1,102
2026-07-04T15:23:54.423000+00:00,11322,1007.5,25.1,48.5,0,1289,1.1,42.1,247
2026-07-04T15:24:54.427000+00:00,11322,1007.7,25.2,48.2,0,1289,1.9,42.3,240
2026-07-04T15:25:54.440000+00:00,11322,1007.6,25.1,48.2,0,1289,2.7,42.2,248
2026-07-04T15:26:54.455000+00:00,11322,1007.7,25.2,47.4,0,1289,0.3,42.6,43
2026-07-04T15:27:54.477000+00:00,11322,1007.6,25.1,47.9,0,1289,1.9,42.5,176
2026-07-04T15:28:54.491000+00:00,11322,1007.6,25.2,48.0,0,1289,1.6,42.5,295
2026-07-04T15:29:54.483000+00:00,11322,1007.5,25.2,48.1,0,1289,3.3,42.5,270
2026-07-04T15:30:54.486000+00:00,11322,1007.6,25.3,48.0,0,1289,1.3,42.2,257
2026-07-04T15:31:54.486000+00:00,11322,1007.6,25.3,47.6,0,1289,1.5,42.5,225
2026-07-04T15:32:54.499000+00:00,11322,1007.8,25.3,46.9,0,1289,2.4,41.4,264
2026-07-04T15:33:54.515000+00:00,11322,1007.6,25.3,47.0,0,1289,2.5,40.9,87
2026-07-04T15:34:54.508000+00:00,11322,1007.5,25.3,46.7,0,1289,0.3,42.1,202
2026-07-04T15:35:54.517000+00:00,11322,1007.6,25.2,47.5,0,1289,2.5,41.3,10
2026-07-04T15:36:54.514000+00:00,11322,1007.5,25.1,47.2,0,1289,1.5,40.4,284
2026-07-04T15:37:54.508000+00:00,11322,1007.6,25.2,47.4,0,1289,1.0,41.6,31
2026-07-04T15:38:54.505000+00:00,11322,1007.6,25.3,46.9,0,1289,2.1,41.9,270
2026-07-04T15:39:54.511000+00:00,11322,1007.6,25.5,46.7,0,1289,3.5,41.4,255
2026-07-04T15:40:54.492000+00:00,11322,1007.4,25.5,46.2,0,1289,2.6,41.5,259
2026-07-04T15:41:54.516000+00:00,11322,1007.4,25.6,46.9,0,1289,3.8,41.7,245
2026-07-04T15:42:54.517000+00:00,11322,1007.6,25.5,46.8,0,1289,2.6,40.4,212
2026-07-04T15:43:54.526000+00:00,11322,1007.5,25.4,46.5,0,1289,2.2,41.5,258
2026-07-04T15:44:54.517000+00:00,11322,1007.6,25.2,47.8,0,1289,1.7,41.7,123
2026-07-04T15:45:54.526000+00:00,11322,1007.5,25.3,47.4,0,1289,4.1,41.6,106
2026-07-04T15:46:54.517000+00:00,11322,1007.4,25.3,46.8,0,1289,1.9,41.9,111
2026-07-04T15:47:54.520000+00:00,11322,1007.5,25.3,47.6,0,1289,4.9,41.7,243
2026-07-04T15:48:54.514000+00:00,11322,1007.6,25.3,47.6,0,1289,4.7,41.2,239
2026-07-04T15:49:54.519000+00:00,11322,1007.6,25.2,47.5,0,1289,1.9,41.6,106
2026-07-04T15:50:54.519000+00:00,11322,1007.5,25.3,47.4,0,1289,0.9,41.4,157
2026-07-04T15:51:54.523000+00:00,11322,1007.6,25.2,47.3,0,1289,2.7,39.6,203
2026-07-04T15:52:54.526000+00:00,11322,1007.4,25.2,47.2,0,1289,1.7,39.9,282
2026-07-04T15:53:54.538000+00:00,11322,1007.6,25.2,47.9,0,1289,1.0,40.5,194
2026-07-04T15:54:54.563000+00:00,11322,1007.5,25.1,48.3,0,1289,1.6,39.7,87
2026-07-04T15:55:54.579000+00:00,11322,1007.6,25.1,48.3,0,1289,3.4,39.2,274
2026-07-04T15:56:54.569000+00:00,11322,1007.5,25.0,48.7,0,1289,0.9,39.4,276
2026-07-04T15:57:54.575000+00:00,11322,1007.6,24.9,49.1,0,1289,2.2,38.2,267
2026-07-04T15:58:54.605000+00:00,11322,1007.5,25.0,49.0,0,1289,3.6,38.2,244
2026-07-04T15:59:54.594000+00:00,11322,1007.5,25.3,49.0,0,1289,3.6,38.2,244
2026-07-04T16:00:54.619000+00:00,11322,1007.5,25.0,49.7,0,1289,1.4,39.2,168
2026-07-04T16:01:54.643000+00:00,11322,1007.5,25.3,49.7,0,1289,1.4,39.2,168
2026-07-04T16:02:54.653000+00:00,11322,1007.4,24.9,50.2,0,1289,1.4,41.4,187
2026-07-04T16:03:54.647000+00:00,11322,1007.4,24.9,49.6,0,1289,1.0,41.7,213
2026-07-04T16:04:54.665000+00:00,11322,1007.4,25.4,49.6,0,1289,1.0,41.7,213
2026-07-04T16:05:54.681000+00:00,11322,1007.4,25.0,49.3,0,1289,2.2,41.2,105
2026-07-04T16:06:54.672000+00:00,11322,1007.4,25.4,49.3,0,1289,2.2,41.2,105
2026-07-04T16:07:54.668000+00:00,11322,1007.4,25.3,49.3,0,1289,2.2,41.2,105
2026-07-04T16:08:54.678000+00:00,11322,1007.4,25.9,49.3,0,1289,2.2,41.2,105
2026-07-04T16:09:54.674000+00:00,11322,1007.4,25.8,49.3,0,1289,2.2,41.2,105
2026-07-04T16:10:54.658000+00:00,11322,1007.4,25.7,49.3,0,1289,2.2,41.2,105
