date,session_key,driver_number,gap_to_leader,interval,meeting_key,source_closure_retrieved_utc
2026-03-29T05:14:32.384000+00:00,11253,44,2.347,0.301,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:32.835000+00:00,11253,12,2.777,0.43,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:33.318000+00:00,11253,10,3.242,0.465,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:33.554000+00:00,11253,6,3.501,0.259,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:33.790000+00:00,11253,41,3.737,0.236,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:34.298000+00:00,11253,3,4.233,0.496,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:34.411000+00:00,11253,31,4.353,0.12,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:34.822000+00:00,11253,16,1.026,1.026,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:34.979000+00:00,11253,30,4.925,0.572,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:35.244000+00:00,11253,5,5.172,0.247,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:35.485000+00:00,11253,43,5.358,0.186,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:35.682000+00:00,11253,1,1.871,0.845,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:35.706000+00:00,11253,55,5.612,0.254,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:35.976000+00:00,11253,23,5.869,0.257,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:36.055000+00:00,11253,63,2.241,0.37,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:36.065000+00:00,11253,87,5.974,0.105,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:36.114000+00:00,11253,11,5.977,0.003,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:36.282000+00:00,11253,27,6.194,0.217,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:36.457000+00:00,11253,44,2.628,0.387,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:36.641000+00:00,11253,14,6.59,0.396,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:36.897000+00:00,11253,18,6.836,0.246,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:36.920000+00:00,11253,12,3.104,0.476,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:37.008000+00:00,11253,77,6.914,0.078,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:37.328000+00:00,11253,10,3.526,0.422,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:37.689000+00:00,11253,6,3.871,0.345,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:37.893000+00:00,11253,41,4.093,0.222,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:38.361000+00:00,11253,16,1.172,1.172,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:38.401000+00:00,11253,3,4.598,0.505,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:38.638000+00:00,11253,31,4.82,0.222,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:39.070000+00:00,11253,1,1.887,0.715,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:39.122000+00:00,11253,30,5.322,0.502,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:39.554000+00:00,11253,63,2.311,0.424,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:39.554000+00:00,11253,5,5.699,0.377,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:39.772000+00:00,11253,43,5.934,0.235,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:39.988000+00:00,11253,44,2.829,0.518,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:40.059000+00:00,11253,55,6.261,0.327,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:40.369000+00:00,11253,87,6.553,0.292,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:40.411000+00:00,11253,12,3.213,0.384,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:40.525000+00:00,11253,23,6.695,0.142,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:40.804000+00:00,11253,11,6.985,0.29,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:40.821000+00:00,11253,10,3.629,0.416,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:40.986000+00:00,11253,27,7.176,0.191,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:41.202000+00:00,11253,6,4.006,0.377,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:41.322000+00:00,11253,14,7.503,0.327,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:41.447000+00:00,11253,41,4.231,0.225,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:41.566000+00:00,11253,16,1.241,1.241,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:41.698000+00:00,11253,18,7.899,0.396,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:41.930000+00:00,11253,77,8.122,0.223,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:42.094000+00:00,11253,3,4.873,0.642,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:42.283000+00:00,11253,31,5.087,0.214,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:42.305000+00:00,11253,1,1.998,0.757,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:42.760000+00:00,11253,30,5.508,0.421,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:42.860000+00:00,11253,63,2.549,0.551,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:43.115000+00:00,11253,5,5.937,0.429,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:43.306000+00:00,11253,43,6.081,0.144,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:43.379000+00:00,11253,44,3.071,0.522,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:43.728000+00:00,11253,55,6.49,0.409,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:43.775000+00:00,11253,12,3.423,0.352,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:44.104000+00:00,11253,87,6.911,0.421,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:44.203000+00:00,11253,23,7.028,0.117,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:44.265000+00:00,11253,10,3.941,0.518,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:44.547000+00:00,11253,11,7.367,0.339,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:44.647000+00:00,11253,6,4.314,0.373,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:44.702000+00:00,11253,27,7.466,0.099,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:45.010000+00:00,11253,41,4.691,0.377,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:45.296000+00:00,11253,14,8.089,0.623,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:45.555000+00:00,11253,3,5.224,0.533,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:45.654000+00:00,11253,18,8.44,0.351,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:45.930000+00:00,11253,77,8.685,0.245,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:45.995000+00:00,11253,31,5.665,0.441,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:46.386000+00:00,11253,30,6.019,0.354,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:46.591000+00:00,11253,16,1.215,1.215,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:46.770000+00:00,11253,5,6.418,0.399,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:47.015000+00:00,11253,43,6.69,0.272,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:47.386000+00:00,11253,55,7.07,0.38,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:47.419000+00:00,11253,1,2.065,0.85,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:47.794000+00:00,11253,87,7.471,0.401,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:48.019000+00:00,11253,63,2.658,0.593,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:48.164000+00:00,11253,23,7.854,0.383,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:48.660000+00:00,11253,44,3.294,0.636,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:48.671000+00:00,11253,11,8.368,0.514,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:48.989000+00:00,11253,27,8.677,0.309,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:49.007000+00:00,11253,12,3.628,0.334,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:49.444000+00:00,11253,14,9.11,0.433,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:49.483000+00:00,11253,10,4.116,0.488,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:49.658000+00:00,11253,18,9.322,0.212,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:49.931000+00:00,11253,6,4.558,0.442,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:49.962000+00:00,11253,77,9.663,0.341,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:50.417000+00:00,11253,41,5.032,0.474,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:50.695000+00:00,11253,16,1.242,1.242,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:50.886000+00:00,11253,3,5.497,0.465,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:51.322000+00:00,11253,31,5.915,0.418,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:51.638000+00:00,11253,1,2.148,0.906,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:51.685000+00:00,11253,30,6.322,0.407,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:52.099000+00:00,11253,5,6.75,0.428,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:52.284000+00:00,11253,63,2.806,0.658,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:52.383000+00:00,11253,43,7.027,0.277,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:52.798000+00:00,11253,44,3.352,0.546,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:52.834000+00:00,11253,55,7.461,0.434,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:53.118000+00:00,11253,87,7.762,0.301,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:53.220000+00:00,11253,12,3.753,0.401,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:53.593000+00:00,11253,23,8.225,0.463,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:53.696000+00:00,11253,10,4.213,0.46,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:54.017000+00:00,11253,6,4.538,0.325,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:54.193000+00:00,11253,11,8.832,0.607,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:54.526000+00:00,11253,27,9.164,0.332,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:54.599000+00:00,11253,41,5.11,0.572,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:55.125000+00:00,11253,3,5.633,0.523,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:55.171000+00:00,11253,14,9.814,0.65,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:55.427000+00:00,11253,18,10.062,0.248,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:55.602000+00:00,11253,31,6.121,0.488,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:55.704000+00:00,11253,77,10.35,0.288,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:56.003000+00:00,11253,30,6.518,0.397,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:56.043000+00:00,11253,16,1.207,1.207,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:56.531000+00:00,11253,5,6.961,0.443,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:56.696000+00:00,11253,43,7.222,0.261,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:56.890000+00:00,11253,1,2.053,0.846,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:57.157000+00:00,11253,55,7.632,0.41,1281,2026-07-25T16:31:14.640634Z
2026-03-29T05:14:57.405000+00:00,11253,87,7.941,0.309,1281,2026-07-25T16:31:14.640634Z
